Chip Run Info,F:\1363029033\ChipRun.bml,1363029033,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/8/2025 9:55:10 AM,01:44:51,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A01,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ACTA2,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A02,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD36,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A03,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD8A,Test,19.7631469200498,0,Flag,0.021487681662316,85.7853213492624,75.3392587608238,0.331846718835356
S96-A04,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CSF2RB,Test,15.8222833347502,0,Flag,0.021487681662316,999,84.8210025080487,0
S96-A05,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FGFR3,Test,16.734143098738,0,Flag,0.021487681662316,999,85.9725071906694,0
S96-A06,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,H2-DMA,Test,20.1009855466922,0,Flag,0.021487681662316,999,86.0787492586936,0
S96-A07,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IGF2,Test,17.578720464929,0,Flag,0.021487681662316,999,84.9359262674166,0
S96-A08,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,KDR,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A09,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,MMP9,Test,22.3444897420961,1,Pass,0.021487681662316,86.855435539454,65.8036508805932,0.816339153545252
S96-A10,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PPY,Test,8.7494228294401,1,Pass,0.021487681662316,82.8748925368216,71.8337629757149,0.973319007510417
S96-A11,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TEK,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A12,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNC,Test,14.6506945490989,1,Pass,0.021487681662316,84.7393138320768,66.3813004697408,0.849208663708573
S96-A13,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ACVR1,Test,16.4377977058297,1,Pass,0.021487681662316,79.8493547355849,65.7052682461166,0.95844854293437
S96-A14,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD3E,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A15,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CLEC7A,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A16,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CXCL13,Test,14.5887154785836,1,Pass,0.021487681662316,81.2788551812764,66.8275644714375,0.895878626198617
S96-A17,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FGR,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A18,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,HIF1A,Test,13.9791178156428,1,Pass,0.021487681662316,75.8689986447068,65.726843530216,0.957510446413577
S96-A19,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL1A,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A20,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,KLF5,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A21,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,NFATC1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A22,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PTGS2,Test,15.3697228703601,0,Flag,0.021487681662316,999,81.9235741094005,0
S96-A23,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TGFB1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A24,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TNFSF11,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A25,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ANGPT1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A26,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD4,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A27,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,COL11A1,Test,23.9046249122167,0,Flag,0.021487681662316,76.1892576226062,66.6754502625541,0.448161542185597
S96-A28,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,DES,Test,15.1523741324097,0,Flag,0.021487681662316,999,84.1352412585288,0
S96-A29,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,FLT4,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A30,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IAPP,Test,12.1326144111913,1,Pass,0.021487681662316,84.4243841268061,65.6024022912656,0.906442305838151
S96-A31,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL1B,Test,20.4379748395842,0,Flag,0.021487681662316,999,83.717384486818,0
S96-A32,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,LCK,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A33,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,NLRP3,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A34,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PTK2,Test,15.6227563414059,1,Pass,0.021487681662316,80.6303817561472,65.7390290481171,0.957371429595962
S96-A35,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TIMP1,Test,19.0577529144586,0,Flag,0.021487681662316,999,85.2579325594712,0
S96-A36,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,VCAM1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A37,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ANPEP,Test,14.9514331461622,1,Pass,0.021487681662316,78.8724643748001,65.8342457016085,0.930707957401864
S96-A38,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD44,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A39,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,COL1A1,Test,19.1486930129063,0,Flag,0.021487681662316,83.8449157561986,66.5339980650223,0.749474971230164
S96-A40,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,EGFR,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A41,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GCG,Test,4.84445667047701,0.948152223492338,Pass,0.021487681662316,83.9222182145687,65.8766519328076,0.831534317373713
S96-A42,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ICAM1,Test,19.3191684023022,0,Flag,0.021487681662316,999,85.3452656786069,0
S96-A43,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL34,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A44,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,LEPR,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A45,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PDGFA,Test,15.0843411961011,1,Pass,0.021487681662316,84.2716153111746,65.9014938362492,0.90133447906584
S96-A46,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,RSPO1,Test,999,0,Flag,0.021487681662316,999,999,0
S96-A47,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,TIMP2,Test,17.1184863259235,0,Flag,0.021487681662316,999,82.6895090268824,0
