Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S96-A01,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,BCL6,Test,15.07174453,1,Pass,0.023073164,80.31310308,65.50969835,0.943119304,,BCL6
S96-A02,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD4,Test,999,0,Flag,0.023073164,999,999,0,,CD4
S96-A03,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GATA4,Test,26.27085951,0.964544417,Pass,0.023073164,83.34332321,999,1,,GATA4
S96-A04,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL17A,Test,999,0,Flag,0.023073164,999,999,0,,IL17A
S96-A05,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL4,Test,999,0,Flag,0.023073164,999,999,0,,IL4
S96-A06,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,PPARA,Test,999,0,Flag,0.023073164,999,999,0,,PPARA
S96-A07,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,AIM2,Test,999,0,Flag,0.023073164,999,999,0,,AIM2
S96-A08,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CXCR3,Test,999,0,Flag,0.023073164,999,999,0,,CXCR3
S96-A09,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFNGR1,Test,15.43340163,1,Pass,0.023073164,77.72222275,999,1,,IFNGR1
S96-A10,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ISG15,Test,14.62510239,1,Pass,0.023073164,82.25061559,999,1,,ISG15
S96-A11,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,OAS1B,Test,16.31497339,1,Pass,0.023073164,82.19498832,999,1,,OAS1B
S96-A12,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,STAT4,Test,999,0,Flag,0.023073164,999,999,0,,STAT4
S96-A13,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CCR2,Test,13.84165824,1,Pass,0.023073164,77.22765295,999,1,,CCR2
