"","cellSource","probe","age","patient","SPA","SPAM","SPAMcell","cellType","kmeans.cluster","ACTA2","ACVR1","ADGRE1","Aim2","ANGPT1","ANPEP","Bcl2","Bcl6","BMP5","BMP7","Ccr1","ccr2","ccr3","ccr4","ccr5","ccr6","Ccr7","CD14","CD24A","cd28","CD36","cd3e","CD3E","cd4","CD4","cd40","Cd44","CD44","CD74","cd80","CD80","CD83","cd86","CD86","cd8a","CD8A","Ceacam1","CLEC7A","COL11A1","COL1A1","COL1A2","CSF1","CSF1R","CSF2RA","CSF2RB","ctla4","Cxcl10","CXCL13","Cxcr3","Cxcr4","DES","EGFR","FAP","FCGR1","FGFR1","FGFR3","FGR","FLT4","foxp3","Fyn","gapdh","gata4","GCG","GFAP","GHRL","GM13889","gsk3a","gsk3b","H2.AA","H2.DMA","HIF1A","Hprt","IAPP","icam1","ICAM1","ICAM2","Icos","ICOSL","Ifi44","Ifi44l","Ifit1","Ifit3","ifng","IFNG","Ifngr1","IGF1","IGF2","IL.21","il10","il12b","Il12rb","il17A","Il18r1","IL1A","IL1B","il1r2","il2","il25","Il27","Il27r","il2ra","il3","IL34","il4","il4ra","il5","il5ra","il6","il7","il7r","INS1","INS2","Irf1","Irf2","Irf4","Irf7","Isg15","ITGAX","ITGB1","Jak1","Jak2","KDR","KLF5","LCK","LEPR","Ly6e","LY75","Map2k6","Mapk8","MMP1A","MMP2","MMP3","MMP9","Mx1","NFATC1","nfkb1","NLRP3","Nur77","Oas1b","Oas2","Oasl1","Pd1","PDGFA","PDGFB","PDGFRB","Pdl.1","PDPN","PECAM1","ppara","pparg","ppargc1a","PPY","pten","PTGS2","PTK2","Rsad2","RSPO1","SELE","SFRP1","Socs3","SPP1","SST","Stat1","Stat3","Stat4","Stat5","Tbx21","TEK","TGFB1","Tgfbr2","TIMP1","TIMP2","TLR3","TLR4","TLR7","TLR9","TNC","tnf","Tnfaip3","tnfrsf1a","tnfrsf1b","TNFSF11","Traf2","Vav1","VCAM1","VEGFA","VEGFB","WNT2B","WNT4","Zap70","ZAP70","Zeb2"
"70","tissue","none","islets","72","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_72_IS_doublet_none_F12",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0705199639731,0,0,0.8348864298646,0,0,0,0,0,1.3463800422754,0.326550860076399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202840234680998,0,0,0,0,0,0,0,0,0,0,0,6.7232157085891,0,0,0,0,0,0,0,0,0,0,0,0,1.4442490146946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851268337771991,14.5235966441912,0.162300323539402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0953256439724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4025922022583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","tissue","none","islets","56","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_56_IS_doublet_none_E8",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5141950109063,0,0,0,0,0,0,0.341719477548502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257205442314799,0,0,0,0,0,0,0,0,0,6.8084975694711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0099168982247,5.710858791031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152626554521799,0,0,0,0,0,0,0,0,13.5959658513216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","tissue","none","islets","74","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_74_IS_doublet_none_G2",3,0,0,0,0,0,0,0,0,0,0,0,8.0981452925605,0,0,0,6.6877559313252,0,4.1524753513862,7.3877893914364,0,0,0,0,0,0,0,0,0,3.0086541457099,0,0,0,0,0,2.2178409441003,0.551628457700801,0,0,0,4.4328557421154,0,0,0,0,0,0,5.545775175222,8.2174144794734,0,0,3.9091953748233,0,0,0,0.6829881015083,0,0,0,0,0,10.4763957496201,0,0,0,0,0,0,0.776429832664501,0,0,0,0,7.917430498702,0,1.2836232135683,0,0,0,0,0,0,8.4265259942122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9712371104147,4.3567402043493,0,0,0,0,0,0,0,0,0,0,0,0.945968471938301,1.9052035583274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2761842933964,0,0,0,0,0,0,0,0,0,0,1.1399657541269,0,7.0897966934137,0,0,0,0,0,0,0.4942748852772,0,0,5.4726275676528,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3315768297269,0,0,3.0677830517089,0,0,6.3938282691624,0,0,2.4847886568141,0,0,0,0,0
"49","tissue","none","islets","53","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_53_IS_doublet_none_E5",3,0,0,0,0,0,0,0,0.224018444148399,0,0,0,1.0922071408371,0,0,0,5.9356080230523,0,2.2675862903754,5.9817358861431,0,0,0,0,0,0,0,0,0,3.7993591894794,0,0,0,0,0,1.9069101501809,2.1032745344854,0,0,0,0,0,0,7.1198452386734,0,0,0,7.0122183602743,3.6742877238637,0,0,0,0,0,0,0,0,0,0,0,0,11.9972321824486,0,7.6993810970939,0,6.8920373286274,0,0,0,6.8609712000404,4.1774762447488,0.5179152500051,0,0,0,0,0,0,0,0.5241569963584,0,0,8.6741885802079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8831912348869,2.3037099521074,0.128795829545702,0,0,5.474430866546,0,1.5539397427682,0.154027418039298,0,0,0,0,0,0.933021579640901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.261061438936,0,4.8078200421321,0,0,0,0,0,0,0.213927379271801,8.3404601129144,0,0,0,3.6306372353911,0,0,0,0,6.6285780264262,0,0,0,3.7514687958575,0,1.3061140729358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","tissue","none","islets","68","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_68_IS_doublet_none_F8",3,0,0,0,0,0,0,0,0,0,0,0,7.6980199781012,0,0,0,6.0930590285587,0,1.9208023373366,6.4671342118791,0,0,0,0,0,0,0,0,0,1.3887943590108,0,0,0,0,0,4.0738055417137,3.4930888111512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9809869887614,1.7700941816024,0,0,0,0,12.563757817556,0,0,0,0,4.631145987019,2.4317267761653,0,0,2.1464373989761,0,0,2.0971884029733,0,0,0,0,0,5.0685458467479,0,0,8.1171401668324,0,0,0,0,3.3612887912804,0,0,0,0,0,0,0,0,0,0,0.5358752829592,0,0,0,0,0,0,0,0,0,0,0,0,5.4902718966886,12.6473037941729,0,0.1690862073918,0,0,7.6274892317656,6.8482260064919,0,0,0,0,0,0,0,5.3369842811019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1644478729068,0,0,0,0,0,0,0,0,0,8.7099026006487,0,0,0,0,0,0,0,0,3.9873266936112,0,0,0,0,0,6.2014307429226,0,0,0.879308942938,0,0,0,3.9293233654379,0,0,0,0,0.2349743791824,0,0,0
"31","tissue","none","islets","37","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_37_IS_doublet_none_D1",3,0,0,0,0,0,0,0,0,0,0,0,8.8305949179061,0,0,0,5.1356734741501,0,0,6.7862927096628,0,0,0,0,0,0,0,0,0,3.6621307005088,0,0,0,0,0,2.2185601683828,0,0,0,0,1.9526718232419,0,0,1.0509923553354,0,3.9547050497412,0,0,8.5924878836135,0,0,1.3983821242011,0,0,0,6.6922634603039,4.513603118597,0,0,0,0,12.0633252324744,0,0,0,6.0760078204945,0,0,0,7.3704992436276,0,0,0,5.7732257864184,0,1.9709864314006,0.689177421352898,0,0,0,0,0,9.4727231789,0,0,0,0.4407776576057,0.4630987076136,0,0,0,0,0,0,0,1.6519827766401,0,0,1.4293235883061,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0300619331285,0,0,0,0,9.2221507804379,5.6464879564837,0,0,0,0,0,0,0,6.1830739394348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597639846643499,0,0,0,0,0,0,1.6994097626346,0,0,0,0.2317440466948,0,6.1651813690378,0,0,0,0,0,0,0,2.1267636733907,0,0,0,0,0,0,0,0,0,0,0,0,2.8733757243503,0,7.1888121484259,0,0,0.692888561148902,0,0,0,4.1486198256657,0,4.1895027223182,0,0,0,0,0,0
"60","tissue","none","islets","63","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_63_IS_doublet_none_F3",3,0,0,0,0,0,0,0,0,0,0,0,9.0922332427989,0,0,0,8.2677103965314,0,2.1657474532969,7.1008456942797,0,0,0,0,0,0,0,0,0,4.6279465726498,0,0,0,0,0,2.6834941351751,1.8320100568239,0,0,0,0,0,0,0,2.9204523433965,0,0,0,3.898352031603,0,0,4.8956768931284,0,0,0,0,8.2800464915299,0,0,0,0,11.5008819498073,0,9.8818679367194,0,7.7240302030638,0,0,0,0,0,0,0,7.1695386022069,0,0,0,0,0,6.8377739398548,0,0,7.5800267030565,0,0,0,1.770710625511,0,0,0,0,0,0,0,0,2.9415697970391,0,0,4.5519791576288,0,0,0,0,0,0,0,0,0,0,0,0,1.5101032706409,14.7783014710706,3.3958201108362,0.161509521982001,0,0,4.5344811680587,5.5626267422287,0,0,0,0,0,0,0.133371606201599,0,0,0,0,0,0,0,0,0,0,3.8189940379283,0,0,0,0,0.2143230977819,0,0,0,0,0,0,0,0,0,0,0,0,7.0940928317801,0,0,0,0,0,0,2.5823250721623,0,0,4.8211803563842,0,0,0,0,0,0,0.889739899899901,0,0,0,4.5967404030997,1.0758751793242,3.9398390332701,0,0,3.55638896706,0,0,0,6.871573369364,0,0.8265138943319,0,0,2.1245402008266,0,0,0
"84","tissue","none","islets","85","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_85_IS_doublet_none_H1",3,0,0,0,0,0,1.2575277845423,5.4788109252679,0,0,0,0,6.9140416884022,0,0,0,9.4652684667675,0,8.3278194507239,0,0,0.291612433104198,0,0,0,0,0,0,0,5.0802336491472,0,0,0,0,0,1.1796152506688,0.191360638837999,0,0,0.132221781364098,0,0,0,5.9088913592375,0,5.6293491324647,0,6.6182908954802,5.113924111143,0,0,0,0,0,0,4.5679360743912,7.9916771429189,0,0,0,0,12.6176502742385,0,6.3651234207196,1.4626274564632,1.2569466837421,5.6358543016235,0,0,6.6938486224455,0,0,0,0,0,0.428905413020999,0,0,0,1.2937979497487,0,0,10.2144234625915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6887997085187,0,0,0,0,0,0,0,0,0,0,0,0,4.1710101473041,12.9496627515928,2.992471657048,0,0,0,7.8538212584837,6.3659858442972,0,0,0,0.279698733677801,0,0,0,8.4828436190748,0,0,0,0,0,0,0,0,0,3.9194129619138,0,0,0,0,0,0,0,0,0,0,0,2.0846464105,0,0,0,0,1.9376552876553,3.4146411522373,0,0,0,0,0,0,0,0,2.6702235742717,1.0773180062677,0,0,0,0,0,0.5486496671457,2.9665316223722,0,0,0,1.1758783905532,0,3.2902411011041,2.5347830958248,0,1.6849008216701,3.7928134882837,0,0,4.3327833611702,0,0,0,0,0.640951494553502,0,0,0
"77","tissue","none","islets","79","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_79_IS_doublet_none_G7",3,0,0,0,0,0,0,4.8109761044132,0,0,0,0,6.0480327294833,0,0,0,7.4820037221754,0,0,0,0,0,0,0,0,0,0,0,0,5.1398195016443,0,0,0,0,0,6.086228528104,5.3491909361741,0,0,0.2306514936875,2.0240037659338,0,0,0,0,0,0,6.8078535271562,7.7386827909569,0,0,6.5036537216635,0,0,0,6.6848536595531,0,0,0,0,0,12.2231636028229,0,11.8473694252456,1.5757704344022,7.5230779828988,6.4596718664442,0,0,6.8486794272731,7.2879300075503,0,0,4.2923013274864,0,0,0,0,0,8.5042523520031,0,0,5.3925830313914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9170942681104,13.4537975081215,6.7459582939161,0,0,0,7.3047161065899,5.6648688246491,0,0,0,0,0,0,0,1.4235027099897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0079635427447,0,0,0,0,0,0,0,11.2059049873437,0,4.7914736452516,0,0,0,0,0,0,4.4267267799252,0,0,0,0,0,3.1063625654434,3.4073702186882,0,1.8314209440679,0,0,0,0,0,0,0,0,3.4387331992551,0,0,0
"3","tissue","none","islets","11","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_11_IS_doublet_none_A11",3,0,0,0,0,0,0,5.6180392810278,0,0,0,0,8.3826270007428,0,0,0,9.4161837682448,0,7.4430787816879,0,0,0,0,0,0,0,0,0,0,6.4573886685851,0,0,0,0,0,0,0,0,0,0,2.2422307840642,0,0,0,0,6.2390528314741,0,5.9642932265539,8.3744961698429,0,0,7.0849465104276,0,0,0,7.3392424963804,7.9292590302218,0,0,0,0,12.4014533161576,0,0,0,0,1.1233711394312,0,0,6.7160209819652,5.9562960240774,0,0,2.2695642004555,0,0,0,0,0,0,0,0,8.0045832710711,0,0,0,0,5.5379675814288,0,0,0,0,0,0,0,0.544019757050801,0,0,4.4001836414923,0,0.015236139923001,0,0,0,0,0,0,0,0,0,0,0,12.3455974319401,6.7146942137423,0,0,3.3738282544994,7.8964263921122,1.1279431855104,0,0,0,0,0,0,0,3.7133226576355,0,0,0,0,0,0,1.1860281894134,0,0,8.3345379494054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5678378898509,0,0,0,0,0,0,3.2806469879478,6.8357143325156,0,5.8316069404061,0,0,0,0,0,0,0,0,0,0,5.8119652111401,0,8.2532266627221,3.8464803043314,0,0,0,0,0,4.9529252902248,0,0,0,0,0,0,0,0
