"","y1","y2","cellSource","age","patient","probe","cohort","FRorFZ","organ","organlocation","tissuelocation","cellType","kmeans.cluster","kmeans.cluster.1","kmeans.cluster.1.1","ITGB1","gsk3b","Hprt","gsk3a","pten","HIF1A","Irf2","Stat3","Ly6e","Jak1","VEGFA","PTK2","TIMP2","ACVR1","Stat1","Pdl-1","Irf1","VEGFB","Jak2","Socs3","nfkb1","PDGFA","gapdh","Ifngr1","WNT4","Traf2","CSF1","FGFR1","KLF5","tnfrsf1a","CSF2RA","INS1","ANPEP","NFATC1","Fyn","IAPP","TLR3","Bcl6","Stat5","Cd44","Ifit1","CD44","EGFR","SPP1","CD83","il4ra","CD74","Nur77","Oas1b","LY75","PDGFB","Tnfaip3","Map2k6","Irf7","GCG","SST","tnfrsf1b","icam1","cd40","Oas2","H2.AA","ppargc1a","H2.DMA","Rsad2","CD24A","Bcl2","TLR4","COL11A1","pparg","INS2","ICAM1","Ifit3","Mx1","SFRP1","VCAM1","Ifi44","ANGPT1","ICOSL","PPY","ccr2","TGFB1","Tgfbr2","IGF2","COL1A1","CD36","FLT4","il7","PDPN","MMP9","MMP2","CD14","IGF1","Zeb2","BMP5","Ceacam1","COL1A2","FGR","LEPR","GHRL","Aim2","Stat4","TEK","TNFSF11","PTGS2","Oasl1","il25","cd86","CD86","Il12rb","Il18r1","il1r2","IL34","LCK","Mapk8","ITGAX","ccr6","CD8A","FGFR3","Vav1","DES","TIMP1","Cxcl10","FAP","IL-21","MMP3","Zap70","GFAP","TNC","SELE","Isg15","CXCL13","KDR","ADGRE1","cd80","CD80","CLEC7A","ctla4","Cxcr3","foxp3","il6","NLRP3","Tbx21","ZAP70","IL1B","gata4","Icos","PDGFRB","GM13889","BMP7","Il27r","TLR7","CSF2RB","CSF1R","IL1A","TLR9","PECAM1","tnf","ICAM2","IBD_Status"
"86",-0.105319200937326,0.565690971251267,"tissue","islets","87","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_87_IS_doublet_none_H3","1",1,1,10.3507148969746,9.0745772354335,9.1394128481082,8.5433455868633,8.9937052867901,0,8.1190095303081,9.3388697800088,8.8308308883885,7.1889876753012,12.0810114133485,6.4896343559601,7.5648333441116,8.4203205869515,0,9.1927898340401,3.6391449960111,7.7303780568539,8.5926681610433,4.3470653147267,9.7921924646826,0,12.6981994798745,0,9.0457390729425,7.1787894942314,0,9.0192592617815,0,0,1.7157257865155,0,0,0,0,3.571884902295,0,0,5.3581485393455,0,0,0,0,2.481687025296,8.0954022488785,0,5.0210049234234,0,0,0,0,0,0,0,21.5,7.8102632721411,0,0,6.7806033436541,0,5.9244548711727,0,5.9391763301159,0,0,6.9889776341464,0,0,0,14.2009088885434,0,3.8436352831242,0,0,0,6.6448242325225,0,0,2.5132023763635,6.5955532401039,0,0,0,0,6.4108834017263,0,0,0,0,0,0,1.9447313142331,0,0,0,7.0316097891501,0,0,5.0152174687442,0,0,0,0,0,0.365680426077699,0,0,0,0,0,0,0,0,0,7.2266004084935,0,0,8.0685983645863,2.288128643675,5.255426384756,0,6.4841195260322,0,0,0,0,0,0,0,0,8.1785720225681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4371547510555,0,0,0,0,0,0,NA
"10",3.03752762180132,-0.0633698931972806,"tissue","islets","18","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_18_IS_doublet_none_B6","1",1,1,9.7876153452757,7.8246165422398,9.8746604260585,10.1587422902989,10.0505272685254,9.3406329770106,8.4281402903932,6.9473263008581,12.2992574524772,8.0155783285313,11.3912270548522,7.7052563843318,7.7200617188793,6.0880685946953,6.6460014043882,7.3414222971493,8.4847265224081,0,7.5397434971967,0,5.1582585931561,5.458384942429,13.3127710138466,9.0433417136499,0,7.2716340488685,0,0,7.4425680475039,0,2.2790817383271,0,6.9197058902606,0,2.4452187496746,11.9516558275058,7.9362765575576,0,0,1.781472150898,0,1.4937343274299,0,0,5.5531229440003,0,1.0538596340912,7.8672405555525,0,0,0,7.2294913096209,0,0,8.1040828443063,20.2515932655027,0,0,6.4500410119508,0,0,0,4.3393531658677,0,13.156538012022,0,0,0,0,14.7911291518797,0,4.0229388852574,0,0,0,0,0,0,13.0159373205807,0,0,0,6.4287324474579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4600711728507,1.0816605544074,0,0,0,6.2011901831497,0,0,0,0,0,0,0,0,7.5349999767896,6.7380947129567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4929462180196,0,0,0,0,0,0,0,0,0,0,NA
"30",0.417772830541556,0.770642972822922,"tissue","islets","36","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_36_IS_doublet_none_C12","1",1,1,9.7910842370186,8.2033275090372,9.5786550668508,7.8772844536261,10.029570797797,8.1808673238466,0,9.3787220443471,11.4057451082082,7.2509449310673,11.0058748446568,0.4453198369619,0,0,0,0,7.0145660217255,4.9377091176937,7.5929214584691,5.0125089576761,9.819466699634,0,13.7798758690698,0,10.0547929627449,0,0,8.4970601047051,0,0,0,5.896928058496,2.7369728193927,0,0,7.082653430852,0,6.5799218513313,0,0,0,0,0,5.8178227503681,0,0.147017626568001,6.6112589871713,0,0,0,0,0,0,7.649717401689,20.3883792374934,7.4611853758746,0,0,2.7926191048877,0,7.5095557512961,0,8.0165420227095,0,4.9837200025172,3.5287495412365,0,0,0,14.8643630705785,0,8.9787911387347,0,0,0,9.443629632914,0,0,0,6.2782126233976,0,0,0,0,0,0,0,0,4.0744878706637,0,7.2434188563126,3.761685331901,0,2.3218554374575,0,0,0,0,0,0,0,0,0,7.5163425877938,0.2091637023521,0,0,0,0,0,0,0,0,0,1.1576860125935,7.0020708774468,5.2359182347077,4.004697092457,6.3823461983491,0,0,0,0,0,0,0,0,9.103196545131,0,8.76640434874,8.3110309218375,0,0,0,0,0,0,0,0,0,0,0,0,3.2853189844848,0,0,0,7.0416801721114,0,0,0,0,5.4499757023584,0,0.930352305517999,0,3.0920589385738,0,NA
"67",0.576755584295218,0.339772201414841,"tissue","islets","7","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_7_IS_doublet_none_A7","1",1,1,9.3726507956245,8.256095454335,9.6266084139759,10.1712996624789,9.6465751618353,8.9270377027106,8.9877682968205,7.4052738288398,10.785309098922,8.7112108271211,10.8250278195763,0,0,6.0873451823968,0,7.4274817074269,5.5077736251766,3.1699079280595,8.4289123312787,4.2271995865243,3.056765558248,0,13.5802822749757,7.2024264835828,6.0017521514059,0,0,0,0,0,0.245815416656601,5.3143355564648,7.1430091105188,0,6.1807290437189,6.1314659783577,0,0,6.5045956453861,0,8.2718672402802,0,0,0,0,0,1.9029989691286,0,0,0,0,0,0,4.1940215808381,20.0263991742308,13.6800926419492,0,0,3.7029919366634,0,6.2456528690085,0,6.0407557699685,0,7.0919273263066,6.6705334540594,0,0,0,13.5439429793962,0,9.629836058607,0,0,0,4.2549342610582,0,0,0,9.0509693889724,0,0,0,0,0,0,0,0,0,0,4.8297112078132,0,0,0.3473858495448,0,0,0,0,5.1446100661792,0,0,0,0,5.1688958319764,0,3.8324980509959,0,0,0,0,0,0,0,0,5.3013501057254,8.8114720687503,2.1177792938301,0,6.3885178850574,2.2693767383196,2.1034677662164,8.1452461543516,0,0,0,7.7025852192015,0,0,0,5.4943727581009,9.1591745845504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5236615114057,0,0,2.4975038216505,1.9822057832692,0,0,0,0,2.5147966659606,0,NA
"57",-0.0297500481052944,0.328063226576584,"tissue","islets","60","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_60_IS_doublet_none_E12","1",1,1,10.1961988808726,10.8699427010025,9.2474350517275,9.0434429847241,10.3892703736427,9.1125867784141,10.1725924502631,9.6083078162843,13.2540713935015,8.9609334419116,11.8395452610864,8.7787085995086,8.0251903447786,7.922885895823,8.309123077409,7.3866584440248,10.1838465422417,7.8024623913646,8.4043691530614,3.2543678256659,9.1389688383118,0,12.2521943517216,8.203996940914,10.300088077905,0,7.7068323247252,8.5772475002491,0,0,6.4400734978849,0,0,2.3712932820727,0,5.5082534005465,0,0,0,0,0,0,0,0,7.538260313511,0,2.7142887874351,0,0,3.684367940617,0,0,0,7.3478729305713,20.5768811342148,13.226481005418,0,5.5302886160992,0.258803069174501,0,0,0,0,0,7.5167257962894,6.9900115025596,0,0,0,7.5621412412614,4.0709731843652,2.902938056556,0,0,0,0,0,0,0,8.404319199614,0,0,0,0,6.6457606460018,0,0,0,0,0,0,0.324560710155001,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0668372285724,0,0,0,0,0,0,0,0,0,0,0,6.3532670422554,6.6904436284705,0,6.3138395738874,6.5189726148864,0,0,0,0,0,0,0,6.8399018358529,1.3759952758755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7460317272276,0,0,0,0,3.2021922987072,0,0,0,0,3.9735399039985,0,NA
"81",-0.269030748788888,0.187943316336411,"tissue","islets","82","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_82_IS_doublet_none_G10","1",1,1,11.633780734197,8.9411078559757,9.5142084434398,10.680758238065,10.3249894209526,9.0807677820553,10.8573410096322,7.8297303340791,11.9423700117703,10.4456306607422,12.7103489620257,0,9.8704855453367,8.2928523218789,9.6862667122211,9.9994791302404,9.2744402172264,5.6166912277327,8.6824084527119,4.96927575855,8.9933385155857,0,13.1276776102684,7.8163778147378,9.9224384051557,9.0522198713848,0.6002355891873,10.7241011723341,0,0,0,3.5802645957488,0,7.0569930932689,8.3269453688782,8.5836929190181,7.3682244930133,7.6613466819945,7.4556386882737,0,0,0,0,9.2790345309306,9.0945629718176,0,3.7637301603955,0,0,0,0,0,0,0.738439965939602,20.9508855040056,7.7199558409898,0,1.4581668855071,0,0,0,0,7.157050003275,0,0,0,0,0,0,13.0222568708163,2.4589533331601,8.0759289615639,0,0,0,0,0,0,0,9.2698734212845,0,0,0,0,0,0,0,0,0,0,6.4273689152135,0,0,0,0,0,0,0,6.2375582163496,0,7.195409960833,0,0,0,0.5957749440045,0,0,0,0,0,0,0,0,0,0,0,2.5345816312419,0,0,5.6504229291131,0,2.3531337581813,0,0,0,0,0,0,0,0,2.5922919067475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7125296570657,0,0,0,0,0,NA
"76",-0.296196400110299,-0.278412365082962,"tissue","islets","78","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_78_IS_doublet_none_G6","1",1,1,10.2698490190243,8.1026580293317,7.3697263450605,9.9564443885063,10.4296101394402,10.0589220434977,9.4478930505547,10.8577257004971,11.6358268938683,6.6709321904649,11.3149858235216,8.0411083059364,6.8542047315651,8.2728203572301,7.1519765731242,0,10.2673222665308,4.5163016118368,7.8166428858765,5.7907454784312,0,7.180469409759,12.9270298574434,0,8.1673878603418,0,7.0182304274024,8.0414864704914,8.0955769650258,0,0,0,6.4960310356699,7.7345130829148,6.9331189223698,0,0,0,6.8576784513967,0,0,0,7.8898702555319,0,0,0,11.3449395377686,0,0,0,0,7.6394568041583,0,3.7868332396056,20.4705206318769,0,2.2222116636393,0,0,0,6.4732375009034,0,4.2256322507227,0,0,0,0,0,0,12.3452278923098,0,9.4754864065846,0,0,0,8.0808568308759,0,0,5.6120895137086,8.8032900912806,0,0,9.9019093770091,0,0,0,0,0,0,0,2.1838155414172,0,0,0,0,0,0,0,7.0268590580224,0,0,0,0,5.2257207220223,0,1.8527926642955,0,0,0,0,0,0,0,0,0,7.5181818674603,3.6236709218104,7.1087621567359,0,5.2121611386911,1.2800647164767,2.3156588187936,0,0,0,0,0,6.8315445032347,0,8.2916975761657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.285891969793,0,0,0.037393815301499,0,4.2247143452989,0,NA
"7",0.442339242513602,0.0373825796802219,"tissue","islets","15","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_15_IS_doublet_none_B3","1",1,1,9.8421429378016,8.5783246767649,0,10.2905492712426,8.7018882848029,8.8222124750384,10.0991537977128,5.969853268369,11.8435991329965,9.0939777855161,10.9867202175748,0,6.4165158613861,0,8.7101747493257,8.5158895641901,8.8958195972943,0,7.5994202064255,2.046628574923,9.621870331046,7.0426523625944,13.5751793340604,5.4720462460795,8.3785017386279,0,0,7.1984259412131,5.221853586404,7.7755543322095,2.9184769563672,0,8.1260115001571,0,0,5.9735469853112,0,0,0,0,0,0,0,6.698017318839,0,0,13.399224626337,0,0,0,0,0,0,0,20.6221427545595,9.961018047589,2.5749159483305,0,2.1480646431393,0,10.4873799910911,0,0,0,0,3.9427903477499,0,0,0,14.1518090926395,0,8.956800592497,0,0,0,9.1384110074797,0,0,0,8.3496340378994,0,0,6.4217098121438,0,0,0,0,0,0,0,2.4232390994522,0,0,0,1.0977882773254,0,0,0,6.6135490537916,0,0,0,0,5.0752262097532,0.765738427144498,4.7164768409797,0,0,0,0,0,0,0,0,5.9842917720901,3.6621394848785,2.7994314197786,1.7244901503993,2.1351503818287,7.6043709644225,0,0,0,0,0,0,0,8.2069088434261,0,6.5076168435028,9.0432016325303,0,0,0,0,0,6.9086930948279,0,0,0,0,0,0,4.173310933618,0,0,0,0,0,0,5.6665582929803,5.5223867716273,5.3422055354512,0,0,1.6591633128648,3.335213335953,0,NA
"5",2.84058243137163,-0.305989169244034,"tissue","islets","13","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_13_IS_doublet_none_B1","1",1,1,9.3368670779525,9.7834734759827,10.1239779720156,8.9412617180229,9.9851975448879,8.2065212757432,9.6835986999268,10.4941859237136,14.846629922771,8.7079249277969,9.9958218199513,8.1751607263615,7.3620960617655,6.6639614420495,9.7341391758866,0,10.6762210453347,5.991419750614,7.6372782476986,4.3248171917268,9.1356402115624,5.0530644303975,13.2836196723148,0,0,7.441495739465,0,8.3848087872858,8.1206631042291,0,5.9823039911016,4.0039183304272,2.2573540506667,9.311475734862,8.5508521302315,12.3133405055555,0,9.7827317518235,2.115193073135,3.7846385732249,0,1.3756438178162,0,1.8527527414581,0,0,4.6587356551859,0,0,0,7.177156328314,0,8.6126064787539,0,0,19.9064350159001,1.8225708876343,0,2.4941352579355,0,0,0,0,0,13.1475048013013,2.4887427311255,2.5455159089778,0,0,13.9125430228032,0,6.8707804986201,0,0,0,0,0,0,0,7.8993479136886,0,0,0,0,0,0,0,0,0,0,5.3574242541837,0,0,0,0,0,0,0,0,0,0,0,0,6.7238721501233,0.7157236048856,0,0,0,0,0,0,0,0,0,0,8.1153824992429,2.1694071943367,0,0,4.0701500513506,2.4963251455539,4.2676648746348,0,0,0,0,0,0,0.773075547137498,5.1918320296928,8.4325898164181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.217324126072,4.036646011833,0,0,0,0,0,NA
"59",4.59820515018267,-1.41962602055476,"tissue","islets","62","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_62_IS_doublet_none_F2","1",1,1,10.0958646397583,10.7079815088437,11.4532267551508,10.8367440828033,11.3345189659837,9.2471584864936,10.7887540180702,11.3827827248668,11.5394692927157,11.4553686744031,13.0827749445632,8.6791966484552,8.1459037100588,7.2643482520392,0,8.5433938184293,7.8895991289606,6.7460587436814,8.7820572277791,5.5305411990607,0,8.5310706061951,14.5764055155484,9.6963424168624,0,8.3309795884118,0,0,10.8723356666671,10.0100032400114,4.286718762204,11.9544166544475,0,8.1598872709274,8.3178286777154,14.9011466546325,0,9.0057124242571,6.5086022882035,0,0,0,0,0,0,7.6080277292712,6.0039032423837,0,0,0,6.2862873013904,0,0,9.5841399249181,0,0,0,0,0,0,1.6205470748591,0,0,0,7.2407773267139,0,0,0,0,21.5,0,9.5924661377328,0,0,0,3.9217414185093,0,0,0,9.7574813114316,0,0,0,0,0,0,0,0,0,0,0,0.328885727803399,3.2633884041507,0,0,0,0,0,0,0,0,0,0,7.6827596737027,0,5.2811218670534,0,0,0,0,0,0,0,0,0,1.6063601595966,4.2637709177032,1.7029052240797,0,0,0,6.455312383893,0,0,0,0,0.243404162949499,3.7009663951462,0,0,4.6861952665422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9004068997285,0,0,0,0,0,0,0,NA
