"","ID","Name","Type","rConc","Name.1","Type.1","Value","Quality","Call","Threshold","In.Range","Out.Range","Peak.Ratio","X","X.1","Comments","PanelNumber","PlateName"
"1","S01-A01","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"BCL6","Test",999,0,"Flag",0.023073164,999,999,0,NA,"BCL6","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"2","S01-A02","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"3","S01-A03","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"GATA4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"GATA4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"4","S01-A04","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL17A","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL17A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"5","S01-A05","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"6","S01-A06","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PPARA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PPARA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"7","S01-A07","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"AIM2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"AIM2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"8","S01-A08","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CXCR3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CXCR3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"9","S01-A09","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IFNGR1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IFNGR1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"10","S01-A10","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ISG15","Test",14.50079598,1,"Pass",0.023073164,81.80890242,999,1,NA,"ISG15","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"11","S01-A11","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"OAS1B","Test",999,0,"Flag",0.023073164,999,999,0,NA,"OAS1B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"12","S01-A12","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"STAT4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"STAT4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"13","S01-A13","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR2","Test",16.00499965,1,"Pass",0.023073164,76.87501873,67.11184844,0.978493586,NA,"CCR2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"14","S01-A14","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD40","Test",16.338914,1,"Pass",0.023073164,80.9541886,72.55876509,0.882644698,NA,"CD40","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"15","S01-A15","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"GSK3A","Test",12.73165885,1,"Pass",0.023073164,79.6639439,67.25025097,0.980435135,NA,"GSK3A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"16","S01-A16","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL1R2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL1R2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"17","S01-A17","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL4RA","Test",27.2743453,1,"Pass",0.023073164,74.72832412,999,1,NA,"IL4RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"18","S01-A18","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PPARG","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PPARG","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"19","S01-A19","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"BCL2","Test",18.21277173,1,"Pass",0.023073164,82.41959213,999,1,NA,"BCL2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"20","S01-A20","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CXCR4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CXCR4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"21","S01-A21","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL12RB","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL12RB","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"22","S01-A22","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"JAK1","Test",13.33054032,1,"Pass",0.023073164,82.35284242,999,1,NA,"JAK1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"23","S01-A23","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"OAS2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"OAS2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"24","S01-A24","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"STAT5","Test",21.46405445,1,"Pass",0.023073164,85.88423941,66.42333471,0.877284471,NA,"STAT5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"25","S01-A25","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR3","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR3","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"26","S01-A26","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD80","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD80","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"27","S01-A27","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"GSK3B","Test",15.5931859,1,"Pass",0.023073164,78.66358935,999,1,NA,"GSK3B","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"28","S01-A28","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"29","S01-A29","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL5","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL5","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"30","S01-A30","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PPARGC1A","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PPARGC1A","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"31","S01-A31","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"32","S01-A32","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"FYN","Test",16.04152091,1,"Pass",0.023073164,78.27072683,65.36835815,0.979163533,NA,"FYN","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"33","S01-A33","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL18R1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL18R1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"34","S01-A34","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"JAK2","Test",16.50367272,1,"Pass",0.023073164,79.90721919,66.68837079,0.975766766,NA,"JAK2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"35","S01-A35","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"OASL1","Test",25.19798241,0,"Flag",0.023073164,999,71.88267314,0,NA,"OASL1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"36","S01-A36","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"TGFBR2","Test",999,0,"Flag",0.023073164,999,999,0,NA,"TGFBR2","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"37","S01-A37","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR4","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR4","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"38","S01-A38","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CD86","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CD86","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"39","S01-A39","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"HPRT","Test",13.54212332,1,"Pass",0.023073164,79.92312734,65.55817761,0.962047826,NA,"HPRT","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"40","S01-A40","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL-21","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL-21","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"41","S01-A41","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL5RA","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL5RA","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"42","S01-A42","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PTEN","Test",13.17854693,1,"Pass",0.023073164,77.83032528,67.87731268,0.989430896,NA,"PTEN","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"43","S01-A43","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"CCR7","Test",999,0,"Flag",0.023073164,999,999,0,NA,"CCR7","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"44","S01-A44","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"ICOS","Test",999,0,"Flag",0.023073164,999,999,0,NA,"ICOS","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"45","S01-A45","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"IL27R","Test",999,0,"Flag",0.023073164,999,999,0,NA,"IL27R","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"46","S01-A46","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"LY6E","Test",10.39212144,1,"Pass",0.023073164,80.08084666,999,1,NA,"LY6E","","Panel1","FR_RNA_T1D_MS_20251103_P1"
"47","S01-A47","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_1_IS_doublet_none_A1","Unknown",1,"PD1","Test",999,0,"Flag",0.023073164,999,999,0,NA,"PD1","","Panel1","FR_RNA_T1D_MS_20251103_P1"
