"","cellSource","probe","age","SPA","SPAM","SPAMcell","cellType","kmeans.cluster","gapdh","Ifit3","cd4","Jak1","nfkb1","pten","il25","Irf1","Irf7","Ifi44","Bcl2","Cxcl10","tnfrsf1b","Stat5","icam1","il2ra","il4ra","Tgfbr2","Tnfaip3","ccr2","cd3e","Ccr7","Cxcr4","Ly6e","cd8a","gsk3a","Stat1","Vav1","Fyn","Stat3","Aim2","Isg15","tnfrsf1a","ctla4","ccr6","il7r","Irf2","cd28","gsk3b","Oas2","foxp3","Traf2","Zap70","Il12rb","Socs3","Hprt","tnf","Pdl-1","Icos","ccr4","Ifngr1","Jak2","Ifit1","Map2k6","Il18r1","Il27r","Pd1","Stat4","Cxcr3","IL-21","il1r2","Rsad2","Mx1","Irf4","Nur77","cd40","ccr5","Ceacam1","Oasl1","Oas1b","Bcl6","il2","Mapk8","cd86","ccr3","ifng","ppara","Cd44"
"226","blood","6","blood","blood.6.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_6_BL_CD4T_12-20_D6",1,13.937464241594,0,8.6906758430331,10.2686960581463,9.085029555709,0,3.5423361775006,8.1899800123348,3.4377105496344,2.9974047694176,9.3581043063032,6.5592973339328,5.8642789438832,6.1614943366387,5.1941451535836,9.5771430692614,0,6.7193763560623,9.6020249169191,9.2552645712728,11.1639054074465,0,0,7.5678270459093,0,3.5962261425367,9.4963200262283,0,9.9363179674778,8.4147008199059,0,8.4534274757575,3.6690885419573,7.1950628547735,10.3380361241801,9.6408765241447,0,0,7.5322976553456,0,0,7.3802197311501,8.3278315988889,0,3.4085543867057,7.7361608289296,0,0,0,0,0,0,7.2839929778723,0,4.4864114436038,0.333333825469101,0,0,0,0,0,0,0,0,0,2.7371204026685,0,0,0,0,0,0,0,0,0,0,0,0
"205","blood","5","blood","blood.5.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_5_BL_CD4T_12-20_E3",1,14.2021143385128,0,4.8690745599358,10.1265132163732,7.9802093462166,0,7.3889217604054,9.5025690536047,8.1186864540971,8.2066100932559,8.1464435054005,7.3009282767285,8.3154203116107,0,4.1331782569158,7.7448917657554,0,0,9.1107589856458,7.8873716517755,12.482215556239,5.7726323737567,11.1429932212397,11.485397619834,0.127395621982298,6.7174912807999,8.9904458299227,8.0219262868448,9.206245873401,9.246509129383,0,8.959418792417,4.5755460731945,0,9.740512534258,7.066868574392,0,7.4347339472462,0,0,9.9622152449859,0,7.5837521746982,0,0,0,5.1837010117492,0,0,0,7.7939066944411,7.835198375628,0,0,6.1045727209876,3.688741181971,6.6108857860025,5.6391256091597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","blood","5","blood","blood.5.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_5_BL_CD4T_12-20_H1",1,14.0389203597305,0,8.529561161996,9.3669730873487,9.3962276018906,0,5.5272771527648,0,0,6.3938267407368,9.972376378323,4.849242584277,8.5273353353079,7.9417219987389,1.3329095967967,12.7459748628276,8.4493253030424,6.8153320248953,9.1322109083061,9.849640947416,10.8541707046702,6.7601010981107,0,10.2947392801604,9.0175642865718,7.9409498649475,11.4258242775892,7.0017611938747,10.2920097521169,8.8485738275109,0,9.6634494491915,1.3583761540956,0,4.6966219039283,9.2111598416669,7.5014790325622,8.4804275648542,5.1645129896695,0,0,8.6446283299326,8.6211479009996,7.7698135150103,3.202680123251,0,4.3557070644394,9.2032542560342,6.5128215063514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"337","blood","8","blood","blood.8.blood","FR.blood","blood","FR_RNA_T1D_MS_20231212_P2_SEEP05_wk8_NOD-F-WT-NonDiabetic-TCR7_8_BL_CD4T_13-21_F9",1,13.3387792922031,10.1049082818986,10.7298941034386,8.1526362678527,3.8252373449028,7.4743104235377,5.1306892848347,4.3556364732523,6.2886590290444,8.5748981903752,7.9510484637221,7.672988989851,7.1803024755251,0,4.046876462107,10.2040520358349,0,0,7.4142064380562,9.8784117230769,11.662421662717,0,10.7246234212097,10.2733355316781,3.121460220787,6.4533157464504,8.4891703946187,0,7.9416697844231,3.6891830173837,6.848588468381,8.6632882439427,0,8.8070190507102,9.7009036366894,7.7042901121501,7.7426165955718,8.8284778333825,6.0103462394162,0,8.9347955214381,0,0,0,1.2013891778846,0,0,0,10.2176939323159,7.3713736978358,9.1906348000472,0,0,0,0,0,0,7.7575852858043,0,0,9.6217136910972,0,0,0,7.3638301535443,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","blood","5","blood","blood.5.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_5_BL_CD4T_12-20_B3",1,14.2265294932602,0,10.8604287315238,9.0466331292346,8.9389435677026,0,6.0603274386636,9.0429404117768,8.587971825055,8.4654126610649,8.802491433807,7.1800676716284,7.0215004507783,7.0337536222137,6.9816865996982,0,0,7.3366541897562,0,8.5271545452675,12.86345720353,0,0,10.3080586226036,0.0851170437941988,6.9878686591076,10.052504972822,7.2836054166871,10.5637961467194,8.4927020185331,0,5.9110078190545,4.2442394917694,7.282847232103,8.949111660453,0,0,9.8783532377249,7.2537235619819,0,0,0,10.044973993706,0,3.1731205492114,7.4647495619591,0,0,7.892696458648,0,7.7167023006888,0,0,0,8.0341288389367,2.7687275323198,8.01720110893,4.6008426397653,10.9096632955243,6.766448917712,0,0,0,0,0,1.4938706907863,8.1195759799465,0,0,0,0,0,0,0,0,0,0,0
"284","blood","7","blood","blood.7.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_7_BL_CD4T_12-20_G8",1,13.8594135168084,0,7.2070678015576,7.1705311816962,9.4885871657049,0,4.771035499513,0,0.1234727359213,0,9.1304892440002,6.9573769971251,0,5.5846579219189,8.7625038607371,12.1640391217653,7.5102981757395,6.1423999719768,10.6045787493748,8.1460568160482,11.7989545159255,4.7035936145732,11.2199636530305,10.6996474507646,11.1080850897083,0,10.8384021677036,8.5358872509255,8.5316169683627,7.9825086214795,0,8.9078186069231,7.2165275102339,9.2258216113625,8.7034886496879,9.2304709444863,7.5130596349127,7.1674405774605,7.9501693763952,0,9.2552159240039,7.938244878324,0,0.410635567232301,3.7401665054381,0,0,8.8219029483707,0,0,10.7138154906712,7.7588202445109,0,0,5.0119163464214,0,0,5.6566384409529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","blood","6","blood","blood.6.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_6_BL_CD4T_12-20_H4",1,14.3015759201554,0,6.9737308596196,8.9915130800297,9.268946844105,0,6.6343877115899,8.7817431477738,4.1500765138763,8.2310907073127,10.6801667032236,6.8295878092607,3.6538823849551,4.5308750460742,7.8725730389766,11.9392063173822,9.534607151482,4.9057267073214,7.8916750715036,9.2968330147975,11.4566650474025,7.8211115197338,9.0122100227853,11.4043979736864,0.1974625690336,8.6120365042639,9.0999527724805,8.3734913292759,9.8714281226488,6.807738920605,0,8.9099278744637,3.8670663430246,6.1830681313465,10.2490295063742,0,0,7.3196193426271,6.2122130989375,0,7.9911971890224,0,0,0,2.9680824820616,7.4817151692514,0,8.5303787107483,0,0,8.7451873363261,7.382793218098,0,0,0,0,7.9613800113623,5.0780312622809,0,0,0,0,0,7.3576286568357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","blood","7","blood","blood.7.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_7_BL_CD4T_12-20_C9",1,14.7368378195051,0,8.9216710227423,7.9722508387464,9.518045692135,0,6.4678784269426,7.9849563689842,0,9.4852617819782,6.1877781398276,8.1503930901995,7.1021572379989,6.2554322349685,4.9931299838982,0,0,8.4800825960695,10.2522655700601,8.3239082943699,13.6524644409981,12.1096447058186,0,13.4302292504577,1.1682664253402,7.0385491179405,7.4064041572181,9.7544306782765,11.2669548870449,8.956762945659,0,9.311196609627,5.8881696832244,0,9.9900844707364,11.2946820807428,8.9318386113487,10.9654616411169,8.3414733678304,0,0,0,7.4531257973008,0,4.0431984546231,0,0,0,10.6663974756607,0,8.4821990551922,9.4852853712594,0,0,7.4368143840148,5.1442983896284,0,0,0,0,0,0,0,0,8.5269928456366,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","blood","6","blood","blood.6.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_6_BL_CD4T_12-20_D5",1,14.1546044457234,0,5.9153227649383,10.88063144782,9.602287045023,0,0,9.815000335251,0,8.8545469546801,10.1373198211133,7.281405633156,6.5544738127145,7.0490591361406,4.1482476854174,9.6860706864743,9.3810131300605,6.1642272013149,9.736785675967,7.559853451766,12.1237231394087,7.8158048600495,0,10.870293828702,2.3417851834673,8.4757761194172,9.4828290267873,7.3932493484487,11.5001281411701,0,0,7.1110654309089,7.885573721176,11.2548532616848,9.3599661252495,10.1040163411205,8.1253093367075,8.3867557457541,8.1539804630349,0,10.0771513812851,0,8.7600177225584,7.0261495122125,0,0,4.7276565806259,0,7.4007701137325,0,10.7310407871515,8.537713268563,0,0,0,0,8.5286379317759,4.7619003568773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","blood","8","blood","blood.8.blood","FR.blood","blood","FR_RNA_T1D_MS_20231120_P1_SEEP05_wk5_NOD-F-WT-NonDiabetic-TCR7_8_BL_CD4T_12-20_B12",1,14.1618799330163,0,10.0271595264511,9.2827106603628,5.5692372127637,0,3.8736794189314,0,9.5205935600408,9.3787681835029,8.7263745592219,6.880984617408,5.6567299267097,7.0723426707563,5.8825983559772,7.7483148008213,8.6607920241075,5.6821313153827,9.928189932714,8.3704634697571,12.5446302738511,9.1260714047229,0,9.5057324170401,3.2653900201561,6.1380654508149,10.8565248437788,9.6548038685925,8.8630455051093,8.8930182730708,0,0,0,9.5839955341081,9.0190524947183,7.8162894919113,8.4215435580239,0,9.1026649509508,7.4140334525518,8.6723991482895,7.6020217769388,7.035687274265,0,2.2223936141174,8.5195430970775,1.6351155535621,0,0,0,9.8475731518076,6.0317804770525,0,0,0,0,0,4.1978122636524,0,0,0,0,7.9579121645509,0,8.4355545197554,0,0,0,0,9.0795311472367,0.443804863062599,0,0,0,0,0,0,0
