"","y1","y2","cellSource","kmeans.cluster","age","patient","probe","cohort","FRorFZ","organ","organlocation","tissuelocation","cellType","kmeans.cluster.1","Jak1","IAPP","Ly6e","pten","TGFB1","ITGB1","Irf2","HIF1A","Stat3","Hprt","gsk3b","gsk3a","VEGFA","gapdh","ICOSL","CSF1","INS2","Stat1","Tgfbr2","PDGFA","FLT4","Irf1","PTK2","SFRP1","INS1","TIMP2","Ifngr1","WNT4","Aim2","KLF5","TLR4","TLR3","Pdl-1","nfkb1","Jak2","Traf2","FGFR1","CD24A","GCG","tnfrsf1a","Tnfaip3","EGFR","SST","ACVR1","VEGFB","PDGFB","ANPEP","CD14","il4ra","Socs3","NFATC1","Il27r","Oas1b","ICAM1","CSF1R","Irf7","icam1","Il18r1","VCAM1","Map2k6","Isg15","LY75","FGFR3","Ifit3","CD74","Cd44","pparg","tnfrsf1b","Rsad2","Ifi44","H2.AA","Fyn","Ifit1","CD36","CD83","TEK","Vav1","SPP1","DES","Oas2","ccr2","CSF2RA","Stat5","ANGPT1","TIMP1","CD44","GHRL","H2.DMA","FGR","Bcl6","GM13889","Nur77","Bcl2","COL1A2","Ceacam1","Cxcl10","ICAM2","COL1A1","PDPN","ITGAX","IGF1","TLR7","KDR","CXCL13","tnf","Mx1","TNC","PPY","LEPR","IL34","CSF2RB","MMP9","ccr6","il7","IGF2","GFAP","ppargc1a","il25","PECAM1","PTGS2","IL1B","il6","ADGRE1","cd80","CD80","Cxcr3","NLRP3","Tbx21","Oasl1","IL-21","MMP3","cd40","CD8A","Il12rb","BMP7","MMP2","Zap70","cd86","CD86","FAP","cd8a","TNFSF11","COL11A1","il1r2","Icos","LCK","PDGFRB","gata4","BMP5","TLR9","SELE","Mapk8","CLEC7A","foxp3","Zeb2","ctla4","ZAP70","Stat4"
"10",-3.37160207593836,1.71742658047149,"tissue",1,"islets","18","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_18_IS_doublet_none_B6",1,8.0155783285313,11.9516558275058,12.2992574524772,10.0505272685254,0,9.7876153452757,8.4281402903932,9.3406329770106,6.9473263008581,9.8746604260585,7.8246165422398,10.1587422902989,11.3912270548522,13.3127710138466,0,0,14.7911291518797,6.6460014043882,0,5.458384942429,0,8.4847265224081,7.7052563843318,0,0,7.7200617188793,9.0433417136499,0,0,7.4425680475039,0,7.9362765575576,7.3414222971493,5.1582585931561,7.5397434971967,7.2716340488685,0,13.156538012022,8.1040828443063,0,7.2294913096209,0,20.2515932655027,6.0880685946953,0,0,6.9197058902606,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5349999767896,0,0,4.0229388852574,1.0538596340912,1.781472150898,0,0,0,0,0,2.4452187496746,0,0,5.5531229440003,0,0,0,0,0,0,2.2790817383271,0,0,6.2011901831497,1.4937343274299,0,4.3393531658677,0,0,2.4929462180196,7.8672405555525,0,0,0,0,0,0,0,0,0,0,0,6.7380947129567,0,0,0,13.0159373205807,0,0,0,0,0.4600711728507,0,6.4287324474579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4500410119508,1.0816605544074,0,0,0,0,0,0,0,2.6464960228263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",-2.95840950759082,1.1016964843719,"tissue",1,"islets","13","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_13_IS_doublet_none_B1",1,8.7079249277969,12.3133405055555,14.846629922771,9.9851975448879,0,9.3368670779525,9.6835986999268,8.2065212757432,10.4941859237136,10.1239779720156,9.7834734759827,8.9412617180229,9.9958218199513,13.2836196723148,0,0,13.9125430228032,9.7341391758866,0,5.0530644303975,0,10.6762210453347,8.1751607263615,0,4.0039183304272,7.3620960617655,0,0,0,8.1206631042291,2.5455159089778,0,0,9.1356402115624,7.6372782476986,7.441495739465,8.3848087872858,13.1475048013013,0,0,0,0,19.9064350159001,6.6639614420495,5.991419750614,7.177156328314,2.2573540506667,5.3574242541837,0,4.3248171917268,9.311475734862,0,0,0,4.036646011833,0,0,0,0,8.6126064787539,5.1918320296928,0,0,6.8707804986201,4.6587356551859,3.7846385732249,0,1.8225708876343,0,0,0,8.5508521302315,0,0,0,0,0,1.8527527414581,4.0701500513506,0,7.8993479136886,5.9823039911016,2.115193073135,0,2.4963251455539,1.3756438178162,0,0,0,9.7827317518235,0,0,2.4887427311255,0,0,4.2676648746348,0,0,0,0,0,0,0,8.4325898164181,0,0,0,0,0,0,7.217324126072,0,8.1153824992429,0,0,0,0,0,0,6.7238721501233,0,0,0,0,0,0,0,0,0.7157236048856,0,0,2.4941352579355,2.1694071943367,0,0,0,0,0,0,0,2.275123517528,0,0,0,0,0,0,0,0,0,0.773075547137498,0,0,0,0,0,0,0
"59",-1.19275102348528,-4.1508586656318,"tissue",1,"islets","62","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_62_IS_doublet_none_F2",1,11.4553686744031,14.9011466546325,11.5394692927157,11.3345189659837,0,10.0958646397583,10.7887540180702,9.2471584864936,11.3827827248668,11.4532267551508,10.7079815088437,10.8367440828033,13.0827749445632,14.5764055155484,0,0,21.5,0,0,8.5310706061951,0,7.8895991289606,8.6791966484552,0,11.9544166544475,8.1459037100588,9.6963424168624,0,0,10.8723356666671,0,0,8.5433938184293,0,8.7820572277791,8.3309795884118,0,7.2407773267139,0,10.0100032400114,0,0,0,7.2643482520392,6.7460587436814,6.2862873013904,0,0,7.6080277292712,5.5305411990607,8.1598872709274,0,0,0,0,9.5841399249181,0,0,0,0,0,0,1.7029052240797,9.5924661377328,6.0039032423837,0,0,0,0,3.9217414185093,1.6205470748591,8.3178286777154,0,0,0,0,0,0,0,0,9.7574813114316,4.286718762204,6.5086022882035,0,0,0,0,0,0,9.0057124242571,0,0,0,0,0,6.455312383893,0,0,0,0,0.328885727803399,1.9004068997285,0,4.6861952665422,0,0,3.7009663951462,0,0,0,0,0,1.6063601595966,0,0,0.243404162949499,0,5.2811218670534,0,7.6827596737027,0,0,0,0,0,0,0,0,0,0,0,0,4.2637709177032,0,0,0,0,0,0,0,4.414593939192,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2633884041507,0,0,0
"63",-2.09192015836374,-3.43715092292407,"tissue",1,"islets","66","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_66_IS_doublet_none_F6",1,10.8383377061498,13.271224557564,10.9771980068543,10.2577266614365,0,9.6912919068513,9.3060391718183,8.7302875089481,11.152077699,9.2685111857412,9.4438749538494,11.1050845327433,12.4619613777365,12.9843176934785,0,7.0948473154239,21.5,9.2554776834146,0,9.3198418698768,0,11.2969052021298,10.4888709554508,0,9.9750481600218,4.0671643620767,8.9759426748858,9.4680822628302,0,10.2102387400408,0,0,8.9566300382051,10.4314897214884,9.5985438120554,7.1838420347232,5.0563457389265,4.2383514081154,7.6660781915795,0.125448763810599,0,7.9784950046273,12.3681297529355,7.7478875147207,0,2.7718261113272,10.0254043323188,1.6252514917597,0,6.3655408345085,0,0,8.6120814145214,0,0,0,0,0,0,0,0,0,5.471047220162,4.0414682443119,3.5416704014228,0,0,0,0,7.7461657578263,0,0,0,0,0,0,5.9771653826001,0,0,0,8.6222928891137,0,2.3431885025211,0,0,0,5.2393875126733,7.8201059503585,0,0,6.1405679310772,0,5.9228772439987,0,0,2.1254663104613,0,0,0,0,0,3.6237886773583,0,5.9420026569654,0,0,0,0,0,0,0,0,4.381627941478,0,5.7007728533607,0,0,0,0,7.0545707473967,0,0,0,0,0,0,0,0,0.1510652989876,0,0,2.6206898797992,1.4136362427898,0,0,0,0,0,0,0,1.6190681305092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",-1.35412429798069,-3.03096898181361,"tissue",1,"islets","42","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_42_IS_doublet_none_D6",1,10.7232352989519,14.2103257997886,13.2442106816915,9.6972837377877,0,11.2009383475156,10.7108764843485,9.5167383525092,11.891253750503,10.6089929033014,9.3551190916385,11.2186719105951,12.4605433659389,14.222599387489,0,0,21.5,12.6038995617949,0,8.0612919429699,0,8.4097337635385,7.6336088393603,0,11.7584855571784,8.1847339479181,0,9.5025860228392,0,0,0,0,10.7780162517029,9.0560298408081,7.4680607678514,8.158718830054,6.1852680282378,7.6868240004356,0,1.3059969004815,0,7.1317049099124,11.1573053598543,5.9402237908088,6.4540502093259,0,8.2390125284317,7.1990447214219,6.2625630966904,4.9348669537782,0,0,0,0,0,0,0,0,0,0,7.7582768945194,0,0,8.6237643906415,7.4545802644113,5.0136650132113,0,0,0,7.6023558992031,0,0,0,0,0,0,5.2224630028431,2.6435316976627,4.0812639203052,0,9.4475097893979,0,0,0,0,4.5295305975705,7.6424150573533,7.6110617972099,0,0,0,8.1807440966883,0,0,0,7.4501633676174,0,0,0,5.2133020841956,0,0,0,9.5564806014994,0,0,7.1483095108018,0,0,0,8.6732822193878,0,7.8430390454608,0,4.5482981407182,1.6481820664954,0,0.306807745656801,0,2.0375219269125,0,0,0,0,0,0,0,0,1.0026776119804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",-2.14608546844342,-3.58165856492103,"tissue",1,"islets","91","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_91_IS_doublet_none_H7",1,12.4582862576714,15.4604810185554,12.5689462772155,12.8854402635438,0,11.6920517470104,11.1638165618074,9.1422950307987,10.1684106815488,11.1367658009785,10.8408724293883,12.1889368877089,12.9557487725436,14.9599494766161,0,0,21.0250065314224,8.3352022289372,0,9.305195834057,0,7.4067352713594,11.3240313782559,0,12.6232917785739,6.6339286664649,10.3003368731738,9.6051010451395,0,11.5722965955285,0,0,8.5950310023671,9.7032258157101,9.5328281820449,8.242916240397,8.5511496433655,0,8.1463791593303,0.241708239416202,0,6.7228015852448,7.2828880133247,7.5668736339363,8.094562788089,6.2278040432917,0,4.1583828398629,0,3.5926078175228,0,0,9.0296775012173,0,3.414312220813,0,0,0,0,0,0,0,0,9.6596734165869,1.838721311341,0,8.8035512808447,0,0,8.3771469328303,7.6654127248673,0,9.1559620079732,0,0,0,4.32476042485,0,0,0,8.2478712421487,5.4352195494462,8.3548605261437,0,0,0,6.596041675448,6.5785062893753,0,0,6.8817991229654,0,6.6627433430343,0,0,0,0,0,0,0,0,0,0,3.6451719612701,4.4432640976294,7.1240971482918,0,0,0,0,2.2717141180789,0,3.7487028432938,0,7.7181490197824,0,0,0,0,5.5136647620142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664727071283199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",-3.03932029545822,-2.71305427235107,"tissue",1,"islets","17","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_17_IS_doublet_none_B5",1,11.2396149019517,15.0268502522133,11.7585800380902,10.5421543410896,0,10.5748331383937,10.2625815992111,7.8568836368213,10.4966914916634,11.0456594946511,9.6034551178007,10.8701245970002,12.4553862133808,14.7679020248333,0,8.5020947605304,21.5,11.4601151689927,0,9.0410820826394,0,8.6070286828007,9.2187691876813,0,12.2466005785846,0,8.5906661881334,7.9563517916213,0,5.8288469374156,0,5.9393939674156,9.4716948048858,8.8335586594694,9.7684230104966,0,0,10.4500923282667,7.4389669571731,5.4300483898231,0,8.0584563225999,18.432267189525,0,6.955587283481,6.4482514223539,0,7.485078182713,0,0,0,0,0,0,4.5876565641624,0,0,0,0,0,6.9754654002292,0,4.2609237181984,9.4861308027904,4.7218281549781,5.3184780281503,0,0,0,7.9865795950697,8.7787321600048,0,0,0,0,0,0,0,0,8.0415097032024,7.4257057912641,6.4205372641356,6.923914618381,0,0,5.0561297031593,6.1952808490179,6.9424104875337,0,0,0.899158680986499,0,0,0,0,6.628640899919,2.7421618604045,0,0,0,0,0,0,9.8294323948947,1.591805417128,9.043865666807,5.4834186767002,8.9201004376679,0,0,0,0,8.9090431607081,0,6.6148038894954,0,5.2521990596104,5.4685725819953,0,6.6959360293213,0,0,0,0,0,0,0,0,0,0,0,7.3149285592524,0.737904098343201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",-2.42577019585916,-3.82997854172673,"tissue",1,"islets","64","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_64_IS_doublet_none_F4",1,12.2801982003135,14.942959802344,13.5148428705711,12.0848719150412,0,10.6683691054798,10.9598502348412,10.977294830807,10.8385566107233,11.5274615352839,11.4086351427485,12.6108980027186,13.3971948034777,14.6372107053909,0,7.6060007715339,21.5,10.7872272994023,0,9.4311537698631,0,10.4233772963482,9.1000866271873,0,12.3557520560148,7.9558639516389,8.973358366603,10.2341887201448,0,7.2467488274718,0,0,9.5963288053259,10.7441768584021,10.5146684466037,9.2749797182237,9.6487625933498,7.1821489821294,15.1926543901383,9.4081096567088,0,8.7371838338815,9.2455506729129,8.0853403451299,7.6444392863169,0,0,4.2981841281665,0,5.2252651857913,7.865377607201,0,0,0,0,0,0.910088403879801,0,0,0,8.3346464048679,0,6.7503686640817,4.5669094605371,1.697067021251,1.7936000124566,2.7841344407625,1.2450876889625,0,0,0,0,0,0,6.0245078168807,0,0.365522669590899,6.0354361206329,0,0,4.1030229385435,6.7795002044386,9.6732505178665,8.0726654040917,7.007024317485,0.560821148196698,6.338372511704,8.1628229419626,0,0,0,8.1604227414387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6367254870787,3.0913782868318,0,0,0,0,0,0,8.4469353903447,1.7196786538711,0,3.9272711000042,0,6.4859202309811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686533329066201,0,0,0,0,0,0,0,0,0,0,0,0
"75",-1.81392900745109,-4.01593718401444,"tissue",1,"islets","77","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_77_IS_doublet_none_G5",1,12.5984785590348,15.8537049200213,12.3458467572777,12.389305908712,0,11.4952213318583,11.0119991970429,10.1417204053808,10.8837534103271,12.0061828586521,11.44137657613,11.3955095602488,13.4074357685415,14.9044481232074,0,9.5539322808963,21.5,9.2843302432179,0,10.7381363232937,0,10.1751671065096,10.7665899465162,0,12.9074333581361,7.5819380192467,8.9462797750559,10.5446095606625,0,10.3377825177449,0,0,10.815923429024,10.1947928779566,0,9.2252013874571,5.5980147412065,1.0175939766933,9.3856243555792,10.5283742856901,0,0,9.4840809917129,9.0111287915542,8.7503139518315,8.6027755082458,10.5945705078708,2.5636107970451,0,4.6923210395154,9.3167776193982,0,0,1.3294400932504,1.7522908425176,0,3.930070599809,0,0,0,3.6625427786573,0,1.7583438928233,10.1673145013855,10.3102177654428,0,7.8534530185954,4.1029400722063,0,0,9.6683706619123,7.6369105422137,0,0,0,0,0,0,5.9013509494794,0,8.611276496779,7.6038525843835,7.2673448351318,0,0,0,7.026251208408,6.9180127205165,0,7.5402095934515,6.9800170927858,8.5171855056955,4.6669436494817,0,0,11.3680798217687,0,0,0,5.0089436320386,0,0,0,0,0,0.0984490174233983,3.3434962231564,0,0,0,2.3791706035641,1.3541951839186,0.6176392888447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4020213205351,0,0,0,5.128177137703,0,0,0,0,0,0,0,6.0757152607439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",-2.20971030332695,-0.984087406485897,"tissue",2,"islets","30","none","wk11","FR","NOD-M","none_wk11","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_30_IS_doublet_none_C6",2,11.5203144830938,14.983309414407,12.5475759389068,11.3522819252312,0,10.9167010408026,10.740630812781,10.5781156608557,10.2976030069055,10.8188619796767,10.4483356557775,11.0508442548469,13.0998215748267,14.9044232758196,0,10.1589508342276,21.5,10.9140060860852,0,6.5398343559313,0,9.5525608852923,8.2340250623111,0,11.511182324204,7.9648316876758,0,10.8236606316006,0,9.0317297267767,0,6.2437828621974,7.4501164289704,9.5071139619121,7.6646094734764,6.3747509208962,7.3687536035085,8.4592184953955,20.3806156206389,0,0,6.825388036207,12.9648888647911,7.6883237219818,5.7100055129002,0,8.4429598775623,7.7443815725816,8.3191654688289,0,6.8476357331808,0,7.6340875723362,0,7.1877921393508,1.9520689519401,0,0,0,0,9.8725714851548,5.8730246732337,6.6602315421131,10.4210087910736,5.6211941214223,0,0,6.030168686392,9.0061745554278,7.9334378971302,7.2616794896413,7.0759598762143,0,0,6.5329866208684,0,7.3040076658111,8.7505429229654,8.2344437957044,0,9.2695501384565,0,8.242548279665,0,0,0,6.7960903015316,0,0,8.585839745538,4.6164025652704,0,7.984680742227,0,0,5.2484026251675,0,0,0,4.3983973396015,0,0,0,0,0,0,8.6167412050023,5.0400067100265,0,0,6.9924175741104,0,9.3645362926263,0,5.5921848804854,0,0,6.8434129229894,0,7.5179461634755,0,0,0,0,0,0,0,0,0,0,0,1.6630071697176,4.6913226646275,0,0,0,0,0,0,0,4.6589870080828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
