"","1","2","ctRep$cellSource","ctRep$kmeans.cluster","ctRep$age","ctRep$patient","ctRep$probe","ctRep$cellType","kmeans.cluster.1","ITGB1","GSK3B","HPRT","GSK3A","PTEN","HIF1A","IRF2","STAT3","LY6E","JAK1","VEGFA","PTK2","TIMP2","ACVR1","STAT1","PDL-1","IRF1","VEGFB","JAK2","SOCS3","NFKB1","PDGFA","GAPDH","IFNGR1","WNT4","TRAF2","CSF1","FGFR1","KLF5","TNFRSF1A","CSF2RA","INS1","ANPEP","NFATC1","FYN","IAPP","TLR3","BCL6","STAT5","CD44","IFIT1","EGFR","SPP1","IL4RA","CD83","CD74","NUR77","OAS1B","LY75","PDGFB","TNFAIP3","MAP2K6","IRF7","GCG","SST","TNFRSF1B","CD40","OAS2","H2-AA","PPARGC1A","H2-DMA","RSAD2","CD24A","BCL2","TLR4","COL11A1","ICAM1","PPARG","INS2","IFIT3","SFRP1","VCAM1","MX1","IFI44","ICOSL","ANGPT1","PPY","CCR2","TGFB1","TGFBR2","IGF2","COL1A1","CD36","FLT4","PDPN","IL7","MMP9","MMP2","CD14","IGF1","ZEB2","FGR","CEACAM1","BMP5","COL1A2","LEPR","GHRL","AIM2","TEK","CD86","STAT4","TNFSF11","PTGS2","OASL1","IL25","IL18R1","IL34","IL12RB","LCK","MAPK8","IL1R2","ITGAX","CCR6","FGFR3","VAV1","DES","TIMP1","CXCL10","FAP","IL-21","MMP3","ZAP70","GFAP","TNC","SELE","ISG15","CXCL13","KDR","ADGRE1","CD80","CXCR3","IL6","NLRP3","TBX21","CLEC7A","CTLA4","FOXP3","IL1B","ICOS","GATA4","PDGFRB","CD8A","GM13889","IL27R","BMP7","TLR7","CSF2RB","CSF1R","TLR9","IL1A","PECAM1","TNF"
"86",0.234559575406213,0.187030414740244,"tissue",1,"islets","87","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_87_IS_doublet_none_H3",1,10.3507148969746,9.07457724,9.13941285,8.54334559,8.99370529,0,8.11900953,9.33886978,8.83083089,7.18898768,12.0810114133485,6.4896343559601,7.5648333441116,8.4203205869515,0,9.19278983,3.639145,7.7303780568539,8.59266816,4.34706531,9.79219246,0,12.69819948,0,9.0457390729425,7.17878949,0,9.0192592617815,0,0,1.7157257865155,0,0,0,0,3.571884902295,0,0,5.35814854,0,0,0,2.481687025296,0,8.0954022488785,5.0210049234234,0,0,0,0,0,0,0,21.5,7.8102632721411,0,6.78060334,0,5.9244548711727,0,5.9391763301159,0,0,6.98897763,0,0,0,0,14.2009088885434,3.84363528,0,0,0,6.64482423,0,0,2.5132023763635,6.59555324,0,0,0,0,6.4108834017263,0,0,0,0,0,0,1.9447313142331,0,0,0,0,7.0316097891501,0,5.0152174687442,0,0,0,0,0,0,0.365680430000001,0,0,0,0,0,0,0,7.2266004084935,0,8.0685983645863,2.28812864,5.255426384756,0,6.48411953,0,0,0,0,0,0,0,0,8.1785720225681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4371547510555,0,0,0,0,0
"10",1.47489170202364,-0.922349353631338,"tissue",1,"islets","18","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_18_IS_doublet_none_B6",1,9.7876153452757,7.82461654,9.87466043,10.15874229,10.05052727,9.3406329770106,8.42814029,6.9473263,12.29925745,8.01557833,11.3912270548522,7.7052563843318,7.7200617188793,6.0880685946953,6.6460014,7.3414223,8.48472652,0,7.5397435,0,5.15825859,5.458384942429,13.31277101,9.04334171,0,7.27163405,0,0,7.4425680475039,0,2.2790817383271,0,6.9197058902606,0,2.44521875,11.9516558275058,7.9362765575576,0,0,1.63760323871495,0,0,0,0,5.5531229440003,1.0538596340912,7.86724056,0,0,0,7.22949131,0,0,8.1040828443063,20.2515932655027,0,6.45004101,0,0,0,4.3393531658677,0,13.156538012022,0,0,0,0,0,14.7911291518797,4.02293889,0,0,0,0,0,0,13.0159373205807,0,0,0,6.4287324474579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460071169999999,0,0,0,6.2011901831497,0,0,0,0,0,0,0,0,7.53499998,6.7380947129567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8640782872037,2.4929462180196,0,0,0,0,0,0,0,0,0
"30",-0.0940446459377808,0.891408542792002,"tissue",1,"islets","36","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_36_IS_doublet_none_C12",1,9.7910842370186,8.20332751,9.57865507,7.87728445,10.0295708,8.1808673238466,0,9.37872204,11.40574511,7.25094493,11.0058748446568,0.4453198369619,0,0,0,0,7.01456602,4.9377091176937,7.59292146,5.01250896,9.8194667,0,13.77987587,0,10.0547929627449,0,0,8.4970601047051,0,0,0,5.896928058496,2.7369728193927,0,0,7.082653430852,0,6.57992185,0,0,0,0,5.8178227503681,0.147017630000001,0,6.6112589871713,0,0,0,0,0,0,7.6497174,20.3883792374934,7.4611853758746,0,2.7926191,0,7.5095557512961,0,8.0165420227095,0,4.9837200025172,3.52874954,0,0,0,0,14.8643630705785,8.97879114,0,0,0,9.44362963,0,0,0,6.27821262,0,0,0,0,0,0,0,0,4.0744878706637,0,7.2434188563126,3.761685331901,0,0,0,2.3218554374575,0,0,0,0,0,0,0,0,7.5163425877938,0.209163700000001,0,0,0,0,0,0,0,1.1576860125935,7.00207088,4.004697092457,6.3823462,0,0,0,0,0,0,0,0,9.103196545131,0,8.76640435,8.3110309218375,0,0,0,0,0,0,0,0,0,0,3.2853189844848,0,0,0,5.32688421735385,7.0416801721114,0,0,0,0,5.4499757023584,0.930352305517999,0,0,3.09205894
"67",0.665008584347864,-0.0961345632870998,"tissue",1,"islets","7","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_7_IS_doublet_none_A7",1,9.3726507956245,8.25609545,9.62660841,10.17129966,9.64657516,8.9270377027106,8.9877683,7.40527383,10.7853091,8.71121083,10.8250278195763,0,0,6.0873451823968,0,7.42748171,5.50777363,3.1699079280595,8.42891233,4.22719959,3.05676556,0,13.58028227,7.20242648,6.0017521514059,0,0,0,0,0,0.245815416656601,5.3143355564648,7.1430091105188,0,6.18072904,6.1314659783577,0,0,6.50459565,0,8.27186724,0,0,0,0,1.9029989691286,0,0,0,0,0,0,4.19402158,20.0263991742308,13.6800926419492,0,3.70299194,0,6.2456528690085,0,6.0407557699685,0,7.0919273263066,6.67053345,0,0,0,0,13.5439429793962,9.62983606,0,0,0,4.25493426,0,0,0,9.05096939,0,0,0,0,0,0,0,0,0,0,4.8297112078132,0,0,0,0,0.3473858495448,0,0,5.1446100661792,0,0,0,0,0,5.1688958319764,0,3.83249805,0,0,0,0,0,0,5.3013501057254,8.81147207,0,6.38851789,2.2693767383196,2.1034677662164,8.14524615,0,0,0,7.70258522,0,0,0,5.49437276,9.1591745845504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17619949691505,3.5236615114057,0,0,2.4975038216505,1.9822057832692,0,0,0,0,2.51479667
"57",0.524651089993616,-0.017554660638174,"tissue",1,"islets","60","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_60_IS_doublet_none_E12",1,10.1961988808726,10.8699427,9.24743505,9.04344298,10.38927037,9.1125867784141,10.17259245,9.60830782,13.25407139,8.96093344,11.8395452610864,8.7787085995086,8.0251903447786,7.922885895823,8.30912308,7.38665844,10.18384654,7.8024623913646,8.40436915,3.25436783,9.13896884,0,12.25219435,8.20399694,10.300088077905,0,7.7068323247252,8.5772475002491,0,0,6.4400734978849,0,0,2.3712932820727,0,5.5082534005465,0,0,0,0,0,0,0,0,7.538260313511,2.7142887874351,0,0,3.684367940617,0,0,0,7.34787293,20.5768811342148,13.226481005418,0,0.258803069999999,0,0,0,0,0,7.5167257962894,6.9900115,0,0,4.8006309021826,0,7.5621412412614,2.90293806,0,0,0,0,0,0,0,8.4043192,0,0,0,0,6.6457606460018,0,0,0,0,0,0,0.324560710155001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06683723,0,0,0,0,0,0,0,0,6.3532670422554,6.69044363,0,6.3138395738874,6.51897261,0,0,0,0,0,0,0,6.83990184,1.3759952758755,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7460317272276,0,0,0,0,0,3.2021922987072,0,0,0,0,3.9735399
"81",0.0558896459018188,0.215718845526377,"tissue",1,"islets","82","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_82_IS_doublet_none_G10",1,11.633780734197,8.94110786,9.51420844,10.68075824,10.32498942,9.0807677820553,10.85734101,7.82973033,11.94237001,10.44563066,12.7103489620257,0,9.8704855453367,8.2928523218789,9.68626671,9.99947913,9.27444022,5.6166912277327,8.68240845,4.96927576,8.99333852,0,13.12767761,7.81637781,9.9224384051557,9.05221987,0.6002355891873,10.7241011723341,0,0,0,3.5802645957488,0,7.0569930932689,8.32694537,8.5836929190181,7.3682244930133,7.66134668,7.45563869,0,0,0,9.2790345309306,0,9.0945629718176,3.7637301603955,0,0,0,0,0,0,0.738439970000002,20.9508855040056,7.7199558409898,0,0,0,0,0,7.157050003275,0,0,0,0,0,1.95856011158005,0,13.0222568708163,8.07592896,0,0,0,0,0,0,0,9.26987342,0,0,0,0,0,0,0,0,0,0,6.4273689152135,0,0,0,0,0,0,0,6.2375582163496,0,0,0,7.19540996,0,0,0.595774939999998,0,0,0,0,0,0,0,0,0,0,0,5.6504229291131,0,2.35313376,0,0,0,0,0,0,0,0,2.5922919067475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52140075062095,0,0,0,0,0,5.7125296570657,0,0,0,0
"76",0.755610028592248,1.15467129151026,"tissue",1,"islets","78","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_78_IS_doublet_none_G6",1,10.2698490190243,8.10265803,7.36972635,9.95644439,10.42961014,10.0589220434977,9.44789305,10.8577257,11.63582689,6.67093219,11.3149858235216,8.0411083059364,6.8542047315651,8.2728203572301,7.15197657,0,10.26732227,4.5163016118368,7.81664289,5.79074548,0,7.180469409759,12.92702986,0,8.1673878603418,0,7.0182304274024,8.0414864704914,8.0955769650258,0,0,0,6.4960310356699,7.7345130829148,6.93311892,0,0,0,6.85767845,0,0,7.8898702555319,0,0,0,11.3449395377686,0,0,0,0,7.6394568,0,3.78683324,20.4705206318769,0,2.22221166,0,0,6.4732375009034,0,4.2256322507227,0,0,0,0,0,0,0,12.3452278923098,9.47548641,0,0,0,8.08085683,0,0,5.6120895137086,8.80329009,0,0,9.9019093770091,0,0,0,0,0,0,0,2.1838155414172,0,0,0,0,0,0,0,7.0268590580224,0,0,0,0,0,5.2257207220223,0,1.85279266,0,0,0,0,0,0,0,7.51818187,7.1087621567359,0,5.2121611386911,1.2800647164767,2.31565882,0,0,0,0,0,6.8315445032347,0,8.29169758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8559019159052,0,0,0,0,2.285891969793,0,0.037393815301499,0,0,4.22471435
"5",1.82572464117159,-0.873545070489248,"tissue",1,"islets","13","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_13_IS_doublet_none_B1",1,9.3368670779525,9.78347348,10.12397797,8.94126172,9.98519754,8.2065212757432,9.6835987,10.49418592,14.846629923,8.70792493,9.9958218199513,8.1751607263615,7.3620960617655,6.6639614420495,9.73413918,0,10.67622105,5.991419750614,7.63727825,4.32481719,9.13564021,5.0530644303975,13.28361967,0,0,7.44149574,0,8.3848087872858,8.1206631042291,0,5.9823039911016,4.0039183304272,2.2573540506667,9.311475734862,8.55085213,12.3133405055555,0,9.78273175,2.11519307,2.5801411939081,0,0,1.8527527414581,0,0,4.6587356551859,0,0,0,7.177156328314,0,8.61260648,0,0,19.9064350159001,1.82257089,2.49413526,0,0,0,0,0,13.1475048013013,2.48874273,2.5455159089778,0,0,0,13.9125430228032,6.8707805,0,0,0,0,0,0,0,7.89934791,0,0,0,0,0,0,0,0,0,0,5.3574242541837,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7238721501233,0.7157236,0,0,0,0,0,0,0,0,8.1153825,0,0,4.0701500513506,2.4963251455539,4.26766487,0,0,0,0,0,0,0.773075547137498,5.19183203,8.4325898164181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22226535716835,0,0,0,0,7.217324126072,4.036646011833,0,0,0,0
"59",3.2184601224338,-2.3567546804746,"tissue",1,"islets","62","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_62_IS_doublet_none_F2",1,10.0958646397583,10.70798151,11.45322676,10.83674408,11.33451897,9.2471584864936,10.78875402,11.38278272,11.53946929,11.45536867,13.0827749445632,8.6791966484552,8.1459037100588,7.2643482520392,0,8.54339382,7.88959913,6.7460587436814,8.78205723,5.5305412,0,8.5310706061951,14.576405516,9.69634242,0,8.33097959,0,0,10.8723356666671,10.01000324,4.286718762204,11.9544166544475,0,8.1598872709274,8.31782868,14.9011466546325,0,9.00571242,6.50860229,0,0,0,0,7.60802773,0,6.0039032423837,0,0,0,6.2862873013904,0,0,9.58413992,0,0,0,0,0,1.6205470748591,0,0,0,7.2407773267139,0,0,0,0,0,21.5,9.59246614,0,0,0,3.92174142,0,0,0,9.75748131,0,0,0,0,0,0,0,0,0,0,0,0.328885727803399,3.2633884,0,0,0,0,0,0,0,0,0,0,0,7.6827596737027,0,5.28112187,0,0,0,0,0,0,0,1.60636016,1.7029052240797,0,0,0,6.45531238,0,0,0,0,0.243404162949499,3.7009663951462,0,0,4.6861952665422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3391824288516,0,0,0,1.9004068997285,0,0,0,0,0,0
"7",1.20426944860568,1.39000997940699,"tissue",1,"islets","15","none","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_15_IS_doublet_none_B3",1,9.8421429378016,8.57832468,0,10.29054927,8.70188828,8.8222124750384,10.0991538,5.96985327,11.84359913,9.09397779,10.9867202175748,0,6.4165158613861,0,8.71017475,8.51588956,8.8958196,0,7.59942021,2.04662857,9.62187033,7.0426523625944,13.57517933,5.47204625,8.3785017386279,0,0,7.1984259412131,5.221853586404,7.77555433,2.9184769563672,0,8.1260115001571,0,0,5.9735469853112,0,0,0,0,0,0,6.698017318839,0,0,13.399224626337,0,0,0,0,0,0,0,20.6221427545595,9.961018047589,2.57491595,2.14806464,0,10.4873799910911,0,0,0,0,3.94279035,0,0,0,0,14.1518090926395,8.95680059,0,0,0,9.13841101,0,0,0,8.34963404,0,0,6.4217098121438,0,0,0,0,0,0,0,2.4232390994522,0,0,0,1.09778828,0,0,0,6.6135490537916,0,0,0,0,0,5.0752262097532,0.765738429999999,4.71647684,0,0,0,0,0,0,5.9842917720901,3.66213948,1.7244901503993,2.13515038,7.6043709644225,0,0,0,0,0,0,0,8.2069088434261,0,6.50761684,9.0432016325303,0,0,0,0,0,0,0,0,6.90869309,0,4.173310933618,0,0,0,1.8717291348893,0,0,0,5.6665582929803,5.5223867716273,5.3422055354512,0,0,1.6591633128648,3.33521334
