"","cluster","variable","value","pos","count"
"1","1","72",0,1,""
"2","2","72",0,1,""
"3","3","72",1,0.5,""
"4","4","72",0,0,""
"5","5","72",0,0,""
"6","6","72",0,0,""
"7","1","56",0,1,""
"8","2","56",0,1,""
"9","3","56",1,0.5,""
"10","4","56",0,0,""
"11","5","56",0,0,""
"12","6","56",0,0,""
"13","1","74",0,1,""
"14","2","74",0,1,""
"15","3","74",1,0.5,""
"16","4","74",0,0,""
"17","5","74",0,0,""
"18","6","74",0,0,""
"19","1","68",0,1,""
"20","2","68",0,1,""
"21","3","68",1,0.5,""
"22","4","68",0,0,""
"23","5","68",0,0,""
"24","6","68",0,0,""
"25","1","53",0,1,""
"26","2","53",0,1,""
"27","3","53",1,0.5,""
"28","4","53",0,0,""
"29","5","53",0,0,""
"30","6","53",0,0,""
"31","1","85",0,1,""
"32","2","85",0,1,""
"33","3","85",1,0.5,""
"34","4","85",0,0,""
"35","5","85",0,0,""
"36","6","85",0,0,""
"37","1","37",0,1,""
"38","2","37",0,1,""
"39","3","37",1,0.5,""
"40","4","37",0,0,""
"41","5","37",0,0,""
"42","6","37",0,0,""
"43","1","63",0,1,""
"44","2","63",0,1,""
"45","3","63",1,0.5,""
"46","4","63",0,0,""
"47","5","63",0,0,""
"48","6","63",0,0,""
"49","1","38",0,1,""
"50","2","38",0,1,""
"51","3","38",1,0.5,""
"52","4","38",0,0,""
"53","5","38",0,0,""
"54","6","38",0,0,""
"55","1","11",0,1,""
"56","2","11",0,1,""
"57","3","11",1,0.5,""
"58","4","11",0,0,""
"59","5","11",0,0,""
"60","6","11",0,0,""
"61","1","23",0,1,""
"62","2","23",0,1,""
"63","3","23",1,0.5,""
"64","4","23",0,0,""
"65","5","23",0,0,""
"66","6","23",0,0,""
"67","1","52",0,1,""
"68","2","52",0,1,""
"69","3","52",1,0.5,""
"70","4","52",0,0,""
"71","5","52",0,0,""
"72","6","52",0,0,""
"73","1","79",0,1,""
"74","2","79",0,1,""
"75","3","79",1,0.5,""
"76","4","79",0,0,""
"77","5","79",0,0,""
"78","6","79",0,0,""
"79","1","27",0,1,""
"80","2","27",0,1,""
"81","3","27",1,0.5,""
"82","4","27",0,0,""
"83","5","27",0,0,""
"84","6","27",0,0,""
"85","1","8",0,1,""
"86","2","8",0,1,""
"87","3","8",1,0.5,""
"88","4","8",0,0,""
"89","5","8",0,0,""
"90","6","8",0,0,""
"91","1","44",0,1,""
"92","2","44",0,1,""
"93","3","44",1,0.5,""
"94","4","44",0,0,""
"95","5","44",0,0,""
"96","6","44",0,0,""
"97","1","19",0,1,""
"98","2","19",0,1,""
"99","3","19",1,0.5,""
"100","4","19",0,0,""
"101","5","19",0,0,""
"102","6","19",0,0,""
"103","1","75",0,1,""
"104","2","75",0,1,""
"105","3","75",1,0.5,""
"106","4","75",0,0,""
"107","5","75",0,0,""
"108","6","75",0,0,""
"109","1","47",0,1,""
"110","2","47",0,1,""
"111","3","47",1,0.5,""
"112","4","47",0,0,""
"113","5","47",0,0,""
"114","6","47",0,0,""
"115","1","4",0,1,""
"116","2","4",0,1,""
"117","3","4",0,1,""
"118","4","4",1,0.5,""
"119","5","4",0,0,""
"120","6","4",0,0,""
"121","1","7",0,1,""
"122","2","7",1,0.5,""
"123","3","7",0,0,""
"124","4","7",0,0,""
"125","5","7",0,0,""
"126","6","7",0,0,""
"127","1","6",0,1,""
"128","2","6",0,1,""
"129","3","6",0,1,""
"130","4","6",1,0.5,""
"131","5","6",0,0,""
"132","6","6",0,0,""
"133","1","29",0,1,""
"134","2","29",0,1,""
"135","3","29",0,1,""
"136","4","29",1,0.5,""
"137","5","29",0,0,""
"138","6","29",0,0,""
"139","1","92",0,1,""
"140","2","92",0,1,""
"141","3","92",0,1,""
"142","4","92",1,0.5,""
"143","5","92",0,0,""
"144","6","92",0,0,""
"145","1","62",1,0.5,""
"146","2","62",0,0,""
