"","cluster","variable","value","pos","freq","freq2"
"1","cluster_1","72",0,0,0,""
"2","cluster_1","56",0,0,0,""
"3","cluster_1","74",0,0,0,""
"4","cluster_1","68",0,0,0,""
"5","cluster_1","53",0,0,0,""
"6","cluster_1","85",0,0,0,""
"7","cluster_1","37",0,0,0,""
"8","cluster_1","63",0,0,0,""
"9","cluster_1","38",0,0,0,""
"10","cluster_1","11",0,0,0,""
"11","cluster_1","23",0,0,0,""
"12","cluster_1","52",0,0,0,""
"13","cluster_1","79",0,0,0,""
"14","cluster_1","27",0,0,0,""
"15","cluster_1","8",0,0,0,""
"16","cluster_1","44",0,0,0,""
"17","cluster_1","19",0,0,0,""
"18","cluster_1","75",0,0,0,""
"19","cluster_1","47",0,0,0,""
"20","cluster_1","4",0,0,0,""
"21","cluster_1","7",0,0,0,""
"22","cluster_1","6",0,0,0,""
"23","cluster_1","29",0,0,0,""
"24","cluster_1","92",0,0,0,""
"25","cluster_1","62",0.0384615384615385,0.0192307692307692,0.04,""
"26","cluster_1","18",0,0.0384615384615385,0,""
"27","cluster_1","60",0,0.0384615384615385,0,""
"28","cluster_1","16",0,0.0384615384615385,0,""
"29","cluster_1","87",0,0.0384615384615385,0,""
"30","cluster_1","82",0,0.0384615384615385,0,""
"31","cluster_1","36",0,0.0384615384615385,0,""
"32","cluster_1","13",0,0.0384615384615385,0,""
"33","cluster_1","61",0,0.0384615384615385,0,""
"34","cluster_1","3",0,0.0384615384615385,0,""
"35","cluster_1","25",0,0.0384615384615385,0,""
"36","cluster_1","78",0,0.0384615384615385,0,""
"37","cluster_1","69",0,0.0384615384615385,0,""
"38","cluster_1","67",0,0.0384615384615385,0,""
"39","cluster_1","15",0,0.0384615384615385,0,""
"40","cluster_1","39",0,0.0384615384615385,0,""
"41","cluster_1","9",0,0.0384615384615385,0,""
"42","cluster_1","66",0.0384615384615385,0.0576923076923077,0.04,""
"43","cluster_1","50",0,0.0769230769230769,0,""
"44","cluster_1","91",0.0384615384615385,0.0961538461538462,0.04,""
"45","cluster_1","42",0.0384615384615385,0.134615384615385,0.04,""
"46","cluster_1","28",0,0.153846153846154,0,""
"47","cluster_1","89",0,0.153846153846154,0,""
"48","cluster_1","83",0.0384615384615385,0.173076923076923,0.04,""
"49","cluster_1","32",0.0384615384615385,0.211538461538462,0.04,""
"50","cluster_1","48",0,0.230769230769231,0,""
"51","cluster_1","40",0,0.230769230769231,0,""
"52","cluster_1","33",0.0384615384615385,0.25,0.04,""
"53","cluster_1","95",0,0.269230769230769,0,""
"54","cluster_1","35",0.0384615384615385,0.288461538461538,0.04,""
"55","cluster_1","55",0,0.307692307692308,0,""
"56","cluster_1","31",0,0.307692307692308,0,""
"57","cluster_1","17",0.0384615384615385,0.326923076923077,0.04,""
"58","cluster_1","76",0,0.346153846153846,0,""
"59","cluster_1","14",0,0.346153846153846,0,""
"60","cluster_1","22",0.0384615384615385,0.365384615384615,0.04,""
"61","cluster_1","54",0,0.384615384615385,0,""
"62","cluster_1","12",0.0384615384615385,0.403846153846154,0.04,""
"63","cluster_1","90",0,0.423076923076923,0,""
"64","cluster_1","77",0.0384615384615385,0.442307692307692,0.04,""
"65","cluster_1","59",0,0.461538461538461,0,""
"66","cluster_1","64",0.0384615384615385,0.480769230769231,0.04,""
"67","cluster_1","5",0.0384615384615385,0.519230769230769,0.04,""
"68","cluster_1","70",0.0384615384615385,0.557692307692307,0.04,""
"69","cluster_1","57",0,0.576923076923077,0,""
"70","cluster_1","88",0,0.576923076923077,0,""
"71","cluster_1","80",0.0384615384615385,0.596153846153846,0.04,""
"72","cluster_1","65",0,0.615384615384615,0,""
"73","cluster_1","24",0,0.615384615384615,0,""
"74","cluster_1","71",0,0.615384615384615,0,""
"75","cluster_1","41",0,0.615384615384615,0,""
"76","cluster_1","46",0,0.615384615384615,0,""
"77","cluster_1","1",0.0384615384615385,0.634615384615384,0.04,""
"78","cluster_1","20",0.0384615384615385,0.673076923076923,0.04,""
"79","cluster_1","45",0.0384615384615385,0.711538461538461,0.04,""
"80","cluster_1","2",0.0384615384615385,0.75,0.04,""
"81","cluster_1","30",0.0384615384615385,0.788461538461538,0.04,""
"82","cluster_1","51",0.0384615384615385,0.826923076923077,0.04,""
"83","cluster_1","94",0.0384615384615385,0.865384615384615,0.04,""
"84","cluster_1","84",0.0384615384615385,0.903846153846153,0.04,""
"85","cluster_1","43",0,0.923076923076923,0,""
"86","cluster_1","81",0,0.923076923076923,0,""
"87","cluster_1","96",0,0.923076923076923,0,""
"88","cluster_1","26",0,0.923076923076923,0,""
"89","cluster_1","86",0.0384615384615385,0.942307692307692,0.04,""
"90","cluster_1","49",0,0.961538461538461,0,""
"91","cluster_1","58",0.0384615384615385,0.98076923076923,0.04,""
"92","cluster_1","10",0,1,0,""
"93","cluster_1","73",0,1,0,""
"94","cluster_1","93",0,1,0,""
"95","cluster_1","21",0,1,0,""
"96","cluster_1","34",0,1,0,""
"97","cluster_2","72",0,0,0,""
"98","cluster_2","56",0,0,0,""
"99","cluster_2","74",0,0,0,""
"100","cluster_2","68",0,0,0,""
"101","cluster_2","53",0,0,0,""
"102","cluster_2","85",0,0,0,""
"103","cluster_2","37",0,0,0,""
"104","cluster_2","63",0,0,0,""
"105","cluster_2","38",0,0,0,""
"106","cluster_2","11",0,0,0,""
"107","cluster_2","23",0,0,0,""
"108","cluster_2","52",0,0,0,""
"109","cluster_2","79",0,0,0,""
"110","cluster_2","27",0,0,0,""
"111","cluster_2","8",0,0,0,""
"112","cluster_2","44",0,0,0,""
"113","cluster_2","19",0,0,0,""
"114","cluster_2","75",0,0,0,""
"115","cluster_2","47",0,0,0,""
"116","cluster_2","4",0,0,0,""
"117","cluster_2","7",0.0555555555555556,0.0277777777777778,0.06,""
"118","cluster_2","6",0,0.0555555555555556,0,""
"119","cluster_2","29",0,0.0555555555555556,0,""
"120","cluster_2","92",0,0.0555555555555556,0,""
"121","cluster_2","62",0,0.0555555555555556,0,""
"122","cluster_2","18",0,0.0555555555555556,0,""
"123","cluster_2","60",0.0555555555555556,0.0833333333333333,0.06,""
"124","cluster_2","16",0,0.111111111111111,0,""
"125","cluster_2","87",0.0555555555555556,0.138888888888889,0.06,""
"126","cluster_2","82",0.0555555555555556,0.194444444444444,0.06,""
"127","cluster_2","36",0.0555555555555556,0.25,0.06,""
"128","cluster_2","13",0,0.277777777777778,0,""
"129","cluster_2","61",0.0555555555555556,0.305555555555556,0.06,""
"130","cluster_2","3",0.0555555555555556,0.361111111111111,0.06,""
"131","cluster_2","25",0,0.388888888888889,0,""
"132","cluster_2","78",0.0555555555555556,0.416666666666667,0.06,""
"133","cluster_2","69",0,0.444444444444445,0,""
"134","cluster_2","67",0.0555555555555556,0.472222222222222,0.06,""
"135","cluster_2","15",0.0555555555555556,0.527777777777778,0.06,""
"136","cluster_2","39",0,0.555555555555556,0,""
"137","cluster_2","9",0,0.555555555555556,0,""
"138","cluster_2","66",0,0.555555555555556,0,""
"139","cluster_2","50",0.0555555555555556,0.583333333333333,0.06,""
"140","cluster_2","91",0,0.611111111111111,0,""
"141","cluster_2","42",0,0.611111111111111,0,""
"142","cluster_2","28",0,0.611111111111111,0,""
"143","cluster_2","89",0.0555555555555556,0.638888888888889,0.06,""
"144","cluster_2","83",0,0.666666666666667,0,""
"145","cluster_2","32",0,0.666666666666667,0,""
"146","cluster_2","48",0,0.666666666666667,0,""
"147","cluster_2","40",0,0.666666666666667,0,""
"148","cluster_2","33",0,0.666666666666667,0,""
"149","cluster_2","95",0,0.666666666666667,0,""
"150","cluster_2","35",0,0.666666666666667,0,""
"151","cluster_2","55",0.0555555555555556,0.694444444444445,0.06,""
"152","cluster_2","31",0.0555555555555556,0.75,0.06,""
"153","cluster_2","17",0,0.777777777777778,0,""
"154","cluster_2","76",0.0555555555555556,0.805555555555556,0.06,""
