"","cellSource","probe","age","SPA","SPAM","SPAMcell","cellType","kmeans.cluster","ADAMTS2","CD3E","CXCR4","RAC2_2","RAC2_1","RPL13A","FYN","TNFAIP3","CD53","CD44","B2M","GAPDH","JAK1","IL7R","CD52","TGFB1","CDC42_2","CDC42_1","STAT5B","NFKB1","TNFRSF1B","HIF1A","ZAP70","FURIN","IRF1","CD28","ITGB2","TCF7","CD8A","IFNGR1_2","STAT3","IFNGR1_1","CTNNB1","STAT4","CCR2","LY6E","TGFBR2","ITGAL","IFNG_2","IFNG_1","FFAR2","RAC1_2","RAC1_1","CXCL10_2","ANG","IL25","BCL2","STAT1","ISG15","IL12RB1_1","CCL24","CD40","IFIT3","PDCD1_2","PTEN","THBS1","IFI44","CMA1","IFIT1","GSK3A","CCR6","REG3G","CXCL10_1","CXCL2","F2R","LGALS3","CTLA4","IRF9","CCR3","CCR5","MMP28","JAK2","HMGB1","ITGA4","ICOS","IFNAR2","ICAM1","IL4R","TPSB2","RORC","CCR7","IRF4","SOCS3","GATA3","TNF_2","ITGB1","FZD1","BCL6","IL12RB1_2","PI3","IL1B","IL22","IRF2","VAV1","NR4A1","CXCR3","VEGFB","ZEB2","IFI44L","TNF_1","TNFRSF1A_2","TNFRSF1A_1","F2RL2","CCR4","GSK3B","NLRP3","CCL8","TYK2","TBX21","IFNAR1","GRN","CFH","OSM","C3_2","C3_1","IRF7","CCL3","CEACAM1","IL2RA","CAMP","CSF1","EGR2","LRP6","PTGES2","APP","WNT1","TRAF3IP2","FNDC4","PDGFA","TRAF2","PDGFB","CCR1","EGR1","AREG","TSPAN2","FGF9","MMP9","HLA.DRA","FOXP3","CSF2","PPARA","IL21","MMP25","CD274","LEF1","IL26","CD4","TGFA","PDCD1_1","ATOH8","HMOX1","JAG1","CRISPLD2","AIM2","IL2","IL4","HGF","NPNT","PPARGC1A","VEGFA","ENG","TGFB3","P3H4","IL10","IL17A_2","IL5RA","C5_1","C5_2","HBEGF","MMP2","TNFRSF21","RHO","IL17A_1","MMP24","IL1A","FGFR2","SDC1","CSF1R","CXCL9","DEFB1","ECM1","EGFL6","F13A1","IGF1","IL3","IL5","IL7","LRP5","PPARG","SYK","VEGFC","VWF","cohort"
"51","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P2_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_B12",1,0,10.49295401,11.11805654,11.43029658,10.90918225,12.71931587,10.75807248,9.64447464,10.12378085,9.19465788,14.888364458,9.93674863,8.95386809,12.28402876,10.73872679,10.08821491,11.61658399,11.35070715,7.92416097,0,0,0,6.87844972,4.8545944,8.03916936,8.70182885,7.97149056,6.535933,4.94575044,9.16382605,7.63260975,8.94190953,9.51332015,8.74102971,8.78312944,8.33990133,0,8.07030218,0,0,8.88365332,9.6945696,9.25421349,4.26319184,9.15188285,9.07207179,7.73319685,10.63730332,0,0,4.40976939,7.8713991,8.12158029,7.8931799,6.98047232,8.53026767,9.02682633,6.77231291,8.46063764,0,8.37524417,4.41811433,4.65632401,4.90140739,9.54045939,0,9.07010365,8.68196349,7.3544392,0,7.19509532,4.81399841,7.73161052,5.48764123,0,7.39829098,6.70775418,0,6.16745609,8.44843392,8.009938,0,2.35162111,5.97061695,7.13755969,0,8.77238159,0,0,3.0473068,0,0,4.531225,6.10559328,0.909066190000001,8.3203607,0,0,0,1.8847449,8.84795421,6.37441389,1.87477809,9.10619939,4.15388108,0,0,1.39756934,0,0,0,0,0,0,0,4.11146558,0,0,0,0,0,0,0,0,0,0,5.09141372,0,0,0,0,4.98078216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"6","blood","RUS012","blood","blood.RUS012.blood","blood.RUS012.blood.FR","blood.RUS012.blood.","FR_RNA_UCM_HU_20210727_P1_SEEP05_CH_JD_RUS012_BL_MAIT_5OPRU_C12",1,0,10.30994119,10.33360906,10.03203392,9.52325939,10.16585925,8.88057451,9.78120666,9.42163637,5.37410703,12.97346043,9.19157935,10.14747506,10.73777755,8.33944,9.14637795,10.60012549,9.79702927,7.23546721,9.02427854,0,0,9.55414294,7.01323626,7.4086476,0,8.49793001,5.53185226,0,9.64787747,6.48465572,9.22304012,7.7071395,6.82530675,0,8.4454142,5.09923687,8.40897849,0,0,9.00150808,5.47652244,5.41374065,7.19487541,0,0,8.10514866,8.42649807,0,9.81499308,6.81505606,9.34992686,8.48961502,8.39604614,8.54951166,9.31675361,9.44602998,0,8.99188386,0,8.5387505,6.38227619,6.27450922,4.69045541,8.21952209,0,8.41635274,7.81357597,6.52936104,8.47305378,6.14493389,5.72369,10.12134277,8.6997798,0,4.07589939,7.39772668,0,5.45198447,6.17349886,6.57389255,0,5.47023526,6.83274952,5.58856886,0,8.26607118,0,5.28472555,2.22739594,0,6.29680286,0,0,4.00698342,6.60348483,0,0,2.55957296,5.30321895,0,0,0,10.74341753,0,6.05050578,3.31911498,6.6150269,7.87170435,0,8.76089147,0,3.55489671,3.37659355,3.4400166,0,3.79570504,2.56507204,0,1.48823777,0,0,0,0,6.1977889,1.80013844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65519536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1414291,0,0,0,0,0,4.5201932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"57","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P2_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_H12",1,0,8.99695371,11.77695399,10.77827341,10.10522063,11.6289334,9.75276989,10.79952052,10.31487411,7.30609256,14.490220701,10.58609181,9.33098791,13.48149255,11.16657155,10.36788778,11.3821493,10.78230025,6.62797948,6.33221954,5.89329743,7.43757254,6.09363777,0,7.55698623,10.21043033,9.58683041,7.17165239,2.94647903,8.58224115,7.58614801,8.15957816,8.61973193,7.38652142,8.525949,8.25503732,6.50099775,10.31904047,0,0,8.80794398,9.92439373,8.84310491,2.06958492,5.73460523,8.68801498,8.75644348,7.07583284,0,0,1.59826472,5.21664503,8.1443613,7.44828136,7.71109574,8.15962427,7.52036295,6.48568543,7.81866846,0,7.93539088,1.23822284,1.34810067,2.32195133,8.40713585,0,8.64206574,7.63595886,7.09767168,6.81069954,5.46689966,4.53161961,7.56961107,7.87025594,8.08930261,6.98094953,5.68980678,5.40568292,6.04735392,7.98535834,7.26254933,0,3.26575165,5.04673228,3.98855389,0,8.53214477,0,0,1.13598598,0,0,6.11729597,6.49516607,0,6.66716247,5.09772354,0,0,0,7.86238055,0,0,8.62043499,6.03276205,0,0,6.62341664,6.15935751,4.78934831,6.66033474,0,0,0,0,0,0,0,0,0,0,0,0,7.2755472,0,0,0,0,0,8.24630106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"54","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P2_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_E12",1,0,11.18213689,12.21832687,11.20255153,10.77046383,12.74598635,10.49594514,9.16959649,10.96842908,9.42541688,14.433480717,7.52074926,9.79567305,12.74669365,10.66237914,9.92988852,11.96059861,11.40452838,8.08858217,0,7.57012625,0,7.82213823,5.56711538,7.48730288,9.11262433,9.02664828,5.23512363,4.50878221,8.7289053,0,8.42306468,7.72246807,7.9169533,10.03497758,8.79499838,6.47916786,9.13203793,0,0,8.67325727,10.45404957,9.60384332,5.11227678,9.2181808,9.04116735,9.07771298,6.80265748,4.63989334,5.00877625,4.13519413,7.21344579,8.27345609,8.05011793,7.67578227,9.3840638,9.71534592,7.66691547,7.13312517,7.82540272,8.84137414,5.40576008,4.72918893,4.85977187,9.6551784,0,8.02029708,8.69238481,7.610293,9.92285612,6.19817236,5.89209043,0.199201810000002,4.59858741,0,7.31398323,5.16522735,0,6.61947594,8.83138004,8.46602879,0,6.85866929,6.31516242,4.94671035,9.06671586,7.89530162,0,0,2.93479928,0,0,7.73147597,7.57743238,0,7.02688149,7.63451602,0,0,1.37880681,0,0,0,9.64389299,7.6168362,0,0,0,0,0,6.18341638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95750396,0,7.90014737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96676334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"29","blood","RUS012","blood","blood.RUS012.blood","blood.RUS012.blood.FR","blood.RUS012.blood.","FR_RNA_UCM_HU_20210727_P2_SEEP05_CH_JD_RUS012_BL_MAIT_5OPRU_C12",1,0,10.94131073,11.44595894,11.28563713,10.50932138,13.19187914,10.00758564,10.34010995,10.18456249,9.18805375,12.24206257,10.14987727,8.50225688,14.13397948,10.57056532,9.70648325,11.08910717,10.33794057,7.58838862,0,8.11878253,9.90241193,9.18872204,8.10999053,6.52198974,8.02450943,8.13231895,9.61442313,0,9.79567944,0,9.08344461,0,7.45060036,7.42459935,8.45615278,6.51223096,0,0,0,9.42741909,8.92334944,8.06514972,6.30660922,9.49432781,9.06427456,9.77110365,0,3.95998793,0,5.68411305,7.19761292,8.45884881,7.68027947,8.92009864,9.61936322,8.89669474,8.73371234,8.85775073,8.02811233,8.7717702,8.24569093,4.54957186,4.06289447,10.23695526,5.11836432,8.63499416,8.60288471,8.03333375,0,6.17332553,7.87564466,8.91999972,8.0459005,0,0,7.13074804,0,7.41648404,7.4678636,7.94297752,0,6.13446891,6.74860971,5.49462126,8.43873685,8.85390031,0,0,2.59555181,0,3.87298289,7.54073893,0,1.72083371,7.1696407,0,0,0,2.48138789,0,0,0.464976400000001,9.7133426,6.3919363,1.00001918,0,0,0,6.37144727,6.44229137,0,0,0,0,6.35402229,0,0.325218830000001,0,0,0,0,0,7.69627623,8.05108335,0,7.69263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93999848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"45","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_B12",1,0,11.98120456,12.99230214,11.51946172,11.43341186,14.027864233,10.92828601,11.94758132,11.31267158,10.63352128,15.038112209,10.64928994,11.33774033,12.90423173,11.89269654,9.60831558,12.93203983,12.80257859,9.86665299,0,4.94651878,0,9.50591162,4.28937108,7.03378042,10.15893972,8.68726689,7.02302291,3.89947732,8.67431618,8.59028208,8.71890587,7.9118257,8.57781171,9.13935561,10.3090309,8.2522539,8.58131253,0,0,6.78931057,9.37560937,9.2104277,6.55630474,7.33597372,7.86543453,7.1839816,0,6.0960779,0,3.91220011,8.14665041,0,0,9.64391126,4.69350651,9.49887595,8.61263594,7.55791059,7.88980917,8.1138017,7.69920406,7.6531558,3.99603941,8.37830791,0,1.56250865,8.40173323,6.0364156,10.32389833,6.40140831,8.20891985,8.01473388,8.77197333,7.94915145,7.1906239,1.12147345,0,0,7.32076955,6.19473508,0,2.55437158,6.08743956,9.17430172,0,0,0,0,0,4.95801881,5.1066748,8.6156463,0,3.11151909,0,6.79035626,0,6.39352803,8.5894921,0,7.12307217,0,10.82038884,0,0,2.24331477,7.8212487,8.53454363,0,0,0,1.99427919,0,0,0,4.35443838,0,0,0,0,0,0,9.11117794,0,0,0,0,0,0,0,8.29977191,0,0,0,0,0,0,1.61620802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742981600000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"44","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_A12",1,0,11.72170532,11.69563361,11.26683263,11.13986184,13.97102325,9.96966182,11.51080147,9.45141346,9.45988733,14.930049839,10.79933747,10.49747051,12.3897319,12.1937175,10.00415951,11.4752264,11.33879821,8.66540414,7.33952744,6.37217629,0,9.61328845,0,8.81047639,9.75217951,6.18052119,8.53856191,4.1310763,7.64439222,0,7.59759721,9.35369129,8.68437825,8.84350306,9.41203172,7.73328739,8.84193003,0,0,6.96641487,8.95631168,8.612475,5.38368047,7.78254785,7.25726276,6.22017798,0,0,7.92960623,4.94542621,0,8.34025571,8.65943914,7.83731043,7.47152103,9.24161017,4.85628819,8.84462679,9.8641029,8.99164079,7.24113224,6.83482822,0,9.57151902,0,8.14502514,6.79550728,7.04515459,6.73591688,1.76045433,6.70122457,7.13213205,8.49474592,0,5.70751737,6.95523546,0,0,9.28126927,9.64593609,0,4.39022077,6.70658831,7.58714178,8.99175545,0,0,2.88281159,0.742929109999999,3.25002244,0,0,0,0,7.29457569,5.88335475,0,0,6.83975164,8.89226979,5.81256807,2.43373347,10.18142225,7.33545263,4.22192655,1.3914872,7.41596828,0,0,3.95715315,0,0,0,0,6.44915234,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57447037,0,7.23858049,1.38001178,1.89891623,0,0,0,0,0,0,0,0,0,7.47154346,0,0,0,0,0.257301510000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60922835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"55","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P2_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_F12",1,0,10.08524859,8.95608418,11.69002152,10.80287637,12.76631764,10.21304286,8.49328098,10.41900919,8.21413661,14.305803622,10.00476426,8.74637012,11.5906862,10.95237176,10.02415432,11.7480862,11.10850528,9.23814376,7.13944683,5.91675591,0,8.93419914,0.952626330000001,8.52500394,9.66898233,8.53315693,0,4.85733307,9.19533885,0,8.80868047,7.24674039,7.08342536,7.30240424,8.05530915,7.96280491,9.26383705,0,0,8.90798249,10.32687507,9.36357354,4.9800858,8.18568204,8.50769494,8.72340328,8.99849576,0,7.09847093,4.40889162,7.83523008,0,5.14329389,8.7073181,8.87862839,9.48744485,7.50452498,8.62646265,0,7.55588804,6.96271033,4.99952362,5.37824051,9.77650045,5.39132411,8.55892952,8.46634425,7.63739616,9.07888032,7.18930187,0,7.30163802,7.66775163,0,8.52106985,6.65008976,5.93064925,4.42651348,8.50536669,7.72136359,0,2.13512446,6.14234854,9.59048576,6.3606662,7.79180594,0,3.7929496,4.54811942,0,0,0,5.38551968,0,6.60930707,7.72011034,0,0,8.20399973,0,6.50690899,1.54547076,9.37204008,7.2721804,0,0,6.55257422,8.22822235,6.85043398,6.97524927,0,0,0,0,3.83973095,0,0,0,0,6.84563639,0,0,0,0,0,6.90046895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37227564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"47","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_D12",1,0,11.55788352,12.61908206,12.39318003,12.3445869,13.64797474,11.63821991,9.67052132,11.56919261,10.14243571,15.273893137,12.16690038,11.20098011,13.92131403,11.86893623,9.7562289,11.86364281,12.08305711,10.13699809,0,0,8.38323647,10.84859464,6.79597831,0,10.61258268,8.07602793,8.54712819,0,10.52343417,5.72892905,10.63439923,9.07177561,8.14124779,10.28414207,8.69293296,7.07873196,9.85434773,0,0,0,10.00759971,10.06495903,6.58252948,8.08906739,7.23952174,6.94916689,7.84116615,0,6.12699684,3.96737828,6.5978696,8.54072703,8.81901271,9.57501857,8.87341663,9.71503574,0,7.80520393,0.412441529999999,8.21186363,4.58209811,7.73525678,0,9.6877194,5.75651576,9.32940737,8.98387004,7.2998118,8.25524843,4.88850829,0,7.13363431,6.35128914,1.31123727,4.96036041,0,0,0,8.63008976,7.70729656,0,0,7.54178393,8.49739697,8.40838919,1.53069486,8.6170769,0,1.49734755,0,3.06457126,9.5593537,6.70442858,0,0,6.40686844,0,0,6.859909,7.73922831,6.97901618,0.0848825600000005,10.61042355,0,0,4.21700187,3.77823524,9.29258975,9.621719,0,0,0,0,0,0,0,0,0,0,0,0,1.1257621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69350209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6210284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
"46","blood","RUS013","blood","blood.RUS013.blood","blood.RUS013.blood.FR","blood.RUS013.blood.","FR_RNA_UCM_HU_20210831_P1_SEEP05_CH_JD_RUS013_BL_MAIT_5OPRU_C12",1,0,12.10683165,13.08389623,11.8303297,12.05781236,14.00171332,11.73805607,12.06147599,11.42260889,10.30224279,15.124538269,10.45923163,11.0418899,13.11840888,11.44663257,9.70903628,12.38316766,12.42551162,10.49265393,7.31847996,0,0,9.33818658,0,10.65111061,11.40208623,7.30476321,6.45595363,5.86665815,10.89440032,7.18428727,11.04843491,8.51128917,7.44854554,9.58173859,8.30232145,9.36220457,9.65191303,0,0,5.54980583,8.55710792,8.79953641,5.87384162,7.71437406,0.618028450000001,7.51154159,9.96114011,5.72703905,0,5.32509807,0,8.72132888,2.82937805,9.85813647,2.99004108,6.50092566,7.51301141,10.0216012,9.35905028,8.82687993,4.90597708,6.99683899,1.95418528,8.20872846,0,6.95336917,8.25522377,7.62864491,9.75550604,3.94520378,9.75371911,0,0,0,0,2.66411853,0,0,7.01292082,9.59283943,0,0,0,9.85953909,7.52805774,0,0,0,0,5.23733018,3.97318946,8.82588479,0,4.39174516,5.3522562,0,0,6.15308314,9.75109153,7.40133067,7.7942035,3.17389178,10.88166422,8.52706104,5.55806809,4.12136532,0,8.62203874,9.05825258,4.90996661,7.32877479,0,0.57552866,1.1812883,0,5.29121007,0,0,0,0,0,0.327754729999999,0,7.90524672,8.85323693,0,0,0,2.92886578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837044700000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UCM-PED"
