"","cluster","variable","value","pos","freq","freq2"
"1","cluster_1","infl",0.447368421052632,0.223684210526316,0.45,"0.45"
"2","cluster_1","uninfl",0.394736842105263,0.644736842105263,0.39,"0.39"
"3","cluster_1","blood",0.157894736842105,0.921052631578947,0.16,"0.16"
"4","cluster_2","infl",0.516129032258065,0.258064516129032,0.52,"0.52"
"5","cluster_2","uninfl",0.451612903225806,0.741935483870968,0.45,"0.45"
"6","cluster_2","blood",0.032258064516129,0.983870967741935,0.03,""
"7","cluster_3","infl",0.423076923076923,0.211538461538462,0.42,"0.42"
"8","cluster_3","uninfl",0.442307692307692,0.644230769230769,0.44,"0.44"
"9","cluster_3","blood",0.134615384615385,0.932692307692308,0.13,"0.13"
"10","cluster_4","infl",0.56,0.28,0.56,"0.56"
"11","cluster_4","uninfl",0.42,0.77,0.42,"0.42"
"12","cluster_4","blood",0.02,0.99,0.02,""
"13","cluster_5","infl",0.04,0.02,0.04,""
"14","cluster_5","uninfl",0.02,0.05,0.02,""
"15","cluster_5","blood",0.94,0.53,0.94,"0.94"
"16","cluster_6","infl",0.538461538461538,0.269230769230769,0.54,"0.54"
"17","cluster_6","uninfl",0.461538461538462,0.769230769230769,0.46,"0.46"
"18","cluster_6","blood",0,1,0,""
"19","cluster_7","infl",0.421052631578947,0.210526315789474,0.42,"0.42"
"20","cluster_7","uninfl",0.526315789473684,0.684210526315789,0.53,"0.53"
"21","cluster_7","blood",0.0526315789473684,0.973684210526316,0.05,""
"22","cluster_8","infl",0.488549618320611,0.244274809160305,0.49,"0.49"
"23","cluster_8","uninfl",0.488549618320611,0.732824427480916,0.49,"0.49"
"24","cluster_8","blood",0.0229007633587786,0.988549618320611,0.02,""
